股票代码,股票简称,报价日,报价日价格,行业PE_通过,个股PE_通过,DCF估值_通过,修正PE估值_通过,蒙特卡洛_通过,子场景通过数,一级行业,二级行业,三级行业,总分_斜率,总分_趋势,盈利能力_斜率,盈利能力_趋势,成长能力_斜率,成长能力_趋势,综合趋势,溢价率上限,定增决策,7个月涨跌幅,标签_盈利_0,标签_盈利_-10,标签_盈利_-20,7个月后价格,最终结论,总分_T-4,评级_T-4,盈利能力_T-4,成长能力_T-4,总分_T-3,评级_T-3,盈利能力_T-3,成长能力_T-3,总分_T-2,评级_T-2,盈利能力_T-2,成长能力_T-2,总分_T-1,评级_T-1,盈利能力_T-1,成长能力_T-1,总分_T,评级_T,盈利能力_T,成长能力_T,波动率_20d,年化收益_20d,区间收益_20d,胜率_20d,波动率_60d,年化收益_60d,区间收益_60d,胜率_60d,波动率_120d,年化收益_120d,区间收益_120d,胜率_120d,波动率_250d,年化收益_250d,区间收益_250d,胜率_250d,MA20,MA30,MA60,MA120,MA250,当前价,均价_all,中位价,价格标准差,漂移率,波动率,数据天数,报价日_md,邀请日,最新交易日,个股PE,个股PB,个股PS,行业PE,行业PB,行业代码,行业名称,营收_T,营业利润_T,净利润_fcf_T,NOPAT_T,折旧_T,资本支出_T,FCF_T,FCF年份_T,营收_T1,营业利润_T1,净利润_fcf_T1,NOPAT_T1,折旧_T1,资本支出_T1,FCF_T1,FCF年份_T1,营收_T2,营业利润_T2,净利润_fcf_T2,NOPAT_T2,折旧_T2,资本支出_T2,FCF_T2,FCF年份_T2,营收_T3,营业利润_T3,净利润_fcf_T3,NOPAT_T3,折旧_T3,资本支出_T3,FCF_T3,FCF年份_T3,营收_T4,营业利润_T4,净利润_fcf_T4,NOPAT_T4,折旧_T4,资本支出_T4,FCF_T4,FCF年份_T4,FCF_3年斜率,营收_3年斜率,NOPAT_3年斜率,报价日MA20,锁定价当前价,定价方式,净利润,step2通过,行业级别,行业波动率_20d,行业年化收益_20d,行业区间收益_20d,行业胜率_20d,行业波动率_60d,行业年化收益_60d,行业区间收益_60d,行业胜率_60d,行业波动率_120d,行业年化收益_120d,行业区间收益_120d,行业胜率_120d,行业波动率_250d,行业年化收益_250d,行业区间收益_250d,行业胜率_250d,行业MA20,行业MA60,行业MA120,行业MA250,行业漂移率,行业波动率_总,行业总天数,同行公司数,同行PE_均值,同行PE_中位,同行PE_标准差,同行PB_均值,同行PB_中位,同行PS_均值,同行PS_中位,同行市值_均值,同行市值_中位,流动比率,速动比率,存货周转率,应收账款周转率,流动资产周转率,总资产周转率,ROA,总资产净利率,ROE,ROE摊薄,现金流动负债比,现金利息负债比,净利率,毛利率,资产负债率,利息资本化率,产权比率,已获利息倍数,研发费用率,营收增长,利润增长,净利增长,扣非净利增长,ROE增长,总营收增长,营收增长2,净资产增长
000021.SZ,深科技,20210421.0,18.51,1,0,0,1,0,5,电子,消费电子,消费电子零部件及组装,-1.42,通过,-0.13,通过,-0.41,通过,通过,-0.1,建议参与本次定向增发,-13.83,0.0,0.0,1.0,15.95,通过,67.2,较差,18.0,18.0,61.3,较差,16.35,14.5,57.35,差,15.45,13.25,66.12,较差,18.9,18.88,57.7,差,16.05,13.75,0.2309,-0.6589,-0.0527,0.4,0.4082,-0.399,-0.0957,0.4333,0.3654,-0.312,-0.1497,0.475,0.4759,-0.0595,-0.0595,0.508,19.3,19.58,20.5,20.53,22.7,18.51,20.37,20.56,3.59,-0.399,0.4082,332.0,20210421.0,20210418.0,20210421.0,32.357,3.5976,1.8226,37.4,5.01,850854.SI,消费电子零部件及组装,132.2381881508,5.4639811755,3.5230116688999997,5.4639811755,2.1755241743919997,10.4126689097,-18.3321406345,2019.0,160.61005965270002,6.9936191089,5.3007321729,6.9936191089,2.053870866944,7.7601471536,-1.5892213689999997,2018.0,142.09778550459998,7.339829560499999,5.413030180800001,7.339829560499999,1.950593608448,12.1465876429,-4.9498623993,2017.0,150.6917053444,3.3882213358,2.1442354275,3.3882213358,2.031014389704,10.211536883700001,-6.6461462624,2016.0,153.6181475544,1.9769123109,1.8066027751,1.9769123109,1.69197997264,7.601384850800001,-2.6967722155000007,2015.0,6.691139117599998,4.929798676899994,0.9379241925000001,19.3,18.51,ma20_discount_90,445907427.42,1,4431.98,0.2974,0.0645,0.0052,0.4,0.3036,-0.6138,-0.1473,0.4167,0.2898,-0.5601,-0.2689,0.4417,0.3491,0.106,0.106,0.488,4422.52,4645.6,5118.11,5269.58,-0.6138,0.3036,672.0,25.0,49.582288,37.5552,43.550585614297496,3.9494320000000003,3.5442,3.032096,2.751,301.6336786884,52.76907018000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
000032.SZ,深桑达A,20211011.0,18.6,0,0,0,1,1,5,建筑装饰,专业工程,其他专业工程,-0.52,通过,-0.06,通过,0.85,通过,通过,0.0,不建议本阶段参与该企业的本笔定向增发,-26.61,0.0,0.0,0.0,13.65,不通过,67.42,较差,17.1,12.75,75.25,中等,20.55,18.62,74.27,中等,21.0,18.25,72.57,中等,21.45,16.62,66.15,较差,16.35,18.0,0.3330085957039571,-0.3327910031971839,-0.03185378590078325,0.3684210526315789,0.3236966312495554,-0.5806691710515763,-0.18826619964973734,0.423728813559322,0.43487514741378125,-0.1627382084355684,-0.08172362555720669,0.4957983193277311,0.5131479856095753,0.017004936917169422,0.017004936917169422,0.5060240963855421,19.353,,20.438666666666666,21.64775,21.3244,18.54,,,,0.26553389138425326,0.5173684679755061,328.0,,,,134.1962,4.2603,1.09,13.71,1.06,857244.SI,其他专业工程,15.208047845,2.2736236591,1.4902769759,2.2736236591,0.065594429904,0.0286007808,-1.2261240363,2020.0,15.011261019600001,1.9837322434,1.3395187641,1.9837322434,0.069300591904,0.2102229564,0.5464763597,2019.0,16.0067254175,1.3371069083,1.0701739149,1.3371069083,0.061566481608000004,0.0867775801,1.9891589626,2018.0,17.2106380924,0.3214775493,0.263712454,0.3214775493,0.067516310616,0.1375152172,1.2004086012000001,2017.0,19.8730434339,0.5477529387,0.6071288447,0.5477529387,0.083045327784,0.09439173210000001,0.6915526875,2016.0,1.6076414994500001,0.3993387862500011,-0.4682583754,18.57,18.6,ma20_discount_90,36261200.89,1,2120.88,0.3619,-1.89,-0.1512,0.4,0.4234,0.5072,0.1217,0.5833,0.3323,0.247,0.1186,0.55,0.3027,0.0908,0.0908,0.484,2222.25,2179.39,1990.18,1907.8,0.5072,0.4234,670.0,11.0,51.970690909090905,30.2714,72.9761993027173,3.358718181818182,1.9295,3.7497727272727275,3.0376,122.12120228272728,52.93754682,,,,,,,,,,,,,,,,,,,,,,,,,,,
000050.SZ,深天马A,20200812.0,16.68,1,1,1,1,1,8,电子,光学光电子,面板,-0.97,通过,-0.33,通过,0.05,通过,通过,-0.2,建议参与本次定向增发,-14.21,0.0,0.0,1.0,14.31,通过,63.98,较差,17.55,15.75,66.15,较差,18.0,18.75,65.05,较差,16.35,19.0,60.35,较差,15.9,15.5,62.02,较差,16.95,17.62,0.4743,0.5803,0.0464,0.55,0.3883,0.7003,0.1681,0.5667,0.4005,-0.0283,-0.0136,0.525,0.388,0.183,0.183,0.548,17.02,16.79,15.95,15.91,15.57,16.68,14.93,14.59,1.33,0.7003,0.3883,334.0,20200812.0,20200809.0,20200812.0,40.6107,1.2727,1.1419,57.82,2.05,850831.SI,面板,302.8197006828,10.0353235885,8.2936499537,10.0353235885,22.596716093848,93.0245036382,-38.094102205599995,2019.0,289.1154396079,9.835462939,9.255423290700001,9.835462939,23.399838391392002,57.07251355,-15.061711898699999,2018.0,140.125004896,8.8444838563,8.0720431562,8.8444838563,5.297692045744,73.5036589838,-54.2916251638,2017.0,107.36756430530001,3.5569399311,5.6917739337,3.5569399311,5.014507991456,30.3375002762,-20.5314303901,2016.0,105.30002724,0.18992079,5.54675491,0.18992079,5.476457104,16.5720126,28.0187677,2015.0,-8.098761479100002,-81.34734789339997,-0.5954198661000013,17.02,16.68,ma20_discount_90,301338975.3,1,1404.42,0.3081,1.2321,0.0986,0.6,0.3722,1.2563,0.3015,0.5833,0.4066,0.1095,0.0525,0.5333,0.3755,0.414,0.414,0.552,1363.67,1315.84,1228.12,1186.75,1.2563,0.3722,674.0,16.0,57.12285,49.9405,26.07006171478119,3.05789375,2.7126,5.9549125,4.19165,225.215615256875,62.93039769000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
000061.SZ,农产品,20250903.0,7.93,0,0,0,1,1,5,商贸零售,一般零售,商业物业经营,-0.91,通过,-0.2,通过,-0.75,通过,通过,0.0,不建议本阶段参与该企业的本笔定向增发,-10.59,0.0,0.0,1.0,7.09,不通过,67.62,较差,17.4,21.12,59.85,差,15.45,16.12,69.45,较差,18.3,21.75,64.72,较差,17.4,18.38,60.65,较差,15.45,16.25,0.5863,2.4736,0.1979,0.55,0.3796,0.7576,0.1818,0.5667,0.3656,0.5856,0.2811,0.5417,0.3446,0.5765,0.5765,0.524,7.89,7.71,7.43,7.08,6.91,7.93,6.27,6.42,0.76,0.7576,0.3796,335.0,20250903.0,20250831.0,20250903.0,37.1924,2.1092,1.984,48.94,2.01,852034.SI,商业物业经营,56.280908099099996,7.9243081361000005,3.8417449711000002,7.9243081361000005,1.092138308792,9.99838643,-3.1110575570000005,2024.0,54.901360049,8.5632254416,4.4893896124,8.5632254416,1.17849874532,5.15062623,6.831599669200001,2023.0,43.5358054051,5.2741631312,1.996605575,5.2741631312,1.223797724272,3.7502225675,7.078640071800001,2022.0,40.9218092145,7.098977273099999,3.7418992518,7.098977273099999,1.282536710496,6.584460894299999,8.3279053506,2021.0,31.7444798434,6.4680107716999995,3.1533088398,6.4680107716999995,1.264414782272,9.7327813274,-0.4652711121000004,2020.0,5.094848814400001,-6.372551346999996,-1.3250725024499983,7.89,7.93,ma20_discount_90,190490434.24,1,3775.32,0.3285,0.4855,0.0388,0.5,0.2905,0.5978,0.1435,0.5,0.3045,0.7114,0.3415,0.5167,0.3237,0.9287,0.9287,0.552,3794.88,3583.85,3306.4,2963.84,0.5978,0.2905,672.0,11.0,99.13366363636364,46.4925,89.18851497264629,4.449718181818182,2.7786,11.938063636363635,6.0589,182.88736442545454,67.8462909,0.43000379941199146,0.32831163389107976,4.416013410473225,17.702888183157995,1.4243742881795214,0.26343871920257933,4.443026100216585,1.7982374643058012,6.184403170287203,6.184403170287203,17.65192804369734,29.86287485409282,6.8260180953999825,26.680168056030567,62.787681613515055,45.758958251900026,2.1333131652082957,6.656727373797525,0.0019759160887060797,-7.461175813451675,0.14881250190403952,-14.426117962922206,-14.426117962922206,-18.3454450942251,2.512775728813899,2.512775728813899,3.250980107076615
000063.SZ,中兴通讯,20200107.0,36.6,1,0,0,1,1,6,通信,通信设备,通信网络设备及器件,-0.27,通过,0.33,通过,-0.15,通过,通过,0.0,建议参与本次定向增发,6.28,1.0,1.0,1.0,38.9,通过,58.55,差,15.9,14.0,63.6,较差,19.2,15.38,56.3,差,15.9,13.25,63.35,较差,20.7,14.38,57.33,差,16.8,13.75,0.2914,1.7612,0.1409,0.75,0.2613,0.5915,0.142,0.6167,0.3661,0.2364,0.1135,0.5417,0.455,0.8392,0.8392,0.516,34.22,33.5,33.19,32.55,30.22,36.6,27.32,29.8,6.17,0.5915,0.2613,332.0,20200107.0,20200104.0,20200107.0,41.8384,2.4374,1.3775,82.8,15.67,851024.SI,通信网络设备及器件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.22,36.6,ma20_discount_90,0.0,1,7689.92,0.2886,1.178,0.0942,0.75,0.231,0.5102,0.1225,0.65,0.2894,0.3759,0.1804,0.5583,0.359,0.5244,0.5244,0.524,7311.06,6926.47,6819.12,6488.82,0.5102,0.231,679.0,10.0,139.93467000000004,113.27715,122.88002652485105,7.879429999999999,6.03375,9.82821,5.24075,408.44697115099996,155.85469901,,,,,,,,,,,,,,,,,,,,,,,,,,,
000066.SZ,中国长城,20220105.0,14.93,1,1,0,1,0,6,计算机,计算机设备,其他计算机设备,-3.69,不通过,-1.62,不通过,-1.01,不通过,不通过,-0.15,建议参与本次定向增发,-30.88,0.0,0.0,0.0,10.32,不通过,69.55,较差,21.0,17.88,68.3,较差,21.0,17.75,63.77,较差,18.9,16.0,62.0,较差,16.8,15.88,54.25,差,15.0,13.75,0.2256,0.6519,0.0521,0.55,0.2466,0.4041,0.097,0.4833,0.3674,-0.0207,-0.0099,0.45,0.4553,-0.1315,-0.1315,0.448,14.06,14.05,13.94,15.06,15.61,14.93,15.23,14.98,1.7,0.4041,0.2466,333.0,20220105.0,20220102.0,20220105.0,36.7647,4.7952,2.3267,49.71,3.11,850703.SI,其他计算机设备,144.4608807253,10.4614309398,9.278604573099999,10.4614309398,2.319757175536,15.1001880779,-10.1791357917,2020.0,108.43784576709999,13.4705966597,11.1499366075,13.4705966597,2.225259523112,7.4384241205,-4.920216084599999,2019.0,100.0948349674,13.277348587999999,9.8710027454,13.277348587999999,1.53567127428,8.2518565651,-6.995738030799999,2018.0,95.06838836120001,7.9231007162000004,5.8104332365,7.9231007162000004,1.487783696856,6.9076224386,-10.934231657,2017.0,691.2816493228,3.3665534106,0.3314776497,3.3665534106,0.45042937384,9.4845234262,11.261310917199998,2016.0,1.5916988804499996,-22.18302287894999,1.407958824100001,14.06,14.93,ma20_discount_90,102855310.07,1,4263.14,0.2151,0.3108,0.0249,0.55,0.1908,0.5292,0.127,0.6167,0.2119,0.1792,0.086,0.5917,0.2353,0.0155,0.0155,0.528,4236.07,4074.05,3978.12,3887.12,0.5292,0.1908,674.0,22.0,79.62213181818181,48.7619,60.38072316944288,3.99319090909091,3.23315,6.983868181818181,4.58415,138.21195879272727,60.60630773999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
000088.SZ,盐田港,20241023.0,4.87,1,1,0,1,1,7,交通运输,航运港口,港口,-0.8,通过,0.7,通过,-0.29,通过,通过,-0.2,建议参与本次定向增发,-3.49,0.0,1.0,1.0,4.7,通过,71.1,中等,19.8,15.38,78.1,中等,21.3,20.88,68.75,较差,19.2,17.0,78.42,中等,23.25,22.25,66.95,较差,22.35,13.25,0.4741,1.5914,0.1273,0.75,0.2953,0.3226,0.0774,0.4833,0.2587,-0.0212,-0.0102,0.475,0.2379,0.0021,0.0021,0.468,4.88,4.79,4.7,4.73,4.79,4.87,4.8,4.86,0.22,0.3226,0.2953,330.0,20241023.0,20241020.0,20241023.0,14.7124,1.5913,23.9512,14.12,1.03,851711.SI,港口,8.9320685349,12.4075766582,11.0832811253,12.4075766582,4.215111891496,9.5543432438,-3.7054037502,2023.0,7.9760960929,5.3135506062,4.4998941576,5.3135506062,3.056279741784,13.067219264,-7.051415517800001,2022.0,6.798682097,5.2642126382,4.6141374182999995,5.2642126382,2.853414937504,20.003450027,-15.976602670700002,2021.0,5.3118102994,4.1948338279,3.9172881896,4.1948338279,2.7515332368639998,7.0639768891,-3.5070516966999996,2020.0,5.933584982899999,4.3663040036,3.5943092414,4.3663040036,1.703325826384,6.198891483400001,-2.9808376168000006,2019.0,-6.135599460250003,-1.0666932189500007,-3.5716820099999986,4.88,4.87,ma20_discount_90,627733957.65,1,3999.25,0.4273,-0.65,-0.052,0.55,0.2876,-0.0037,-0.0009,0.4333,0.2356,0.0572,0.0275,0.4417,0.1999,0.1529,0.1529,0.496,4042.58,3906.9,3863.46,3768.82,-0.0037,0.2876,667.0,15.0,16.546799999999998,15.1604,5.844162055590176,1.0240733333333332,0.9677,2.4120133333333333,2.6235,329.60903748399994,197.7943848,1.837092467647695,1.8310213807470392,55.66191468019956,10.91269041237895,0.2600772025593307,0.04650506271229337,6.222874490443878,5.770541076528186,9.730399255556451,9.730399255556451,165.14302291651015,4632.047127686348,124.08414783199022,29.272014427386743,32.970982546875646,20.924014623436854,0.5458108911253403,-26.177007239665567,0.0010553996717744105,133.50820529915515,133.00328172895192,146.30092924699417,146.30092924699417,99.69452219120505,11.985467964095477,11.985467964095477,40.29190512637019
000099.SZ,中信海直,20210816.0,7.48,1,1,1,1,1,8,交通运输,航空机场,航空运输,0.42,通过,0.27,通过,-0.14,通过,通过,-0.1,建议参与本次定向增发,-10.7,0.0,0.0,1.0,6.68,通过,78.33,中等,24.0,20.88,79.65,中等,24.45,21.75,80.62,良好,25.05,21.75,80.38,良好,25.05,21.12,80.05,良好,25.05,20.5,0.3303,0.5952,0.0476,0.45,0.2441,0.5699,0.1368,0.5,0.2344,0.2778,0.1333,0.4833,0.2707,-0.1402,-0.1402,0.468,7.38,7.29,7.11,6.97,7.39,7.48,7.12,6.96,0.59,0.5699,0.2441,334.0,20210816.0,20210813.0,20210816.0,19.7861,1.308,2.8817,213.1,1.63,851741.SI,航空运输,15.583600475299999,2.7271813917000003,2.1836112861,2.7271813917000003,1.8159226485439999,1.1804135558,4.1518475376,2020.0,15.672533011099999,2.559399369,2.1146148081000002,2.559399369,1.8573529995520002,2.410282441,6.062254816699999,2019.0,14.258808529500001,1.5489137602,1.5045886508000001,1.5489137602,2.208256572064,1.6675817312999999,1.4710644337,2018.0,12.6976141285,1.1672980927,0.9098325761,1.1672980927,2.356063343024,1.3951021603,-2.1397719521000003,2017.0,11.7192522878,0.044976351799999995,0.8592948869,0.044976351799999995,2.5114708835119997,1.2243683316,1.681378839,2016.0,-1.3403915519499998,-0.6623959728999934,-0.5891338157499997,7.38,7.48,ma20_discount_90,33556704.94,1,2135.16,0.1875,0.77,0.0616,0.55,0.1938,-0.5827,-0.1398,0.4,0.2554,-0.0143,-0.0069,0.4333,0.2591,0.0683,0.0683,0.46,2057.81,2208.32,2271.42,2149.64,-0.5827,0.1938,675.0,2.0,51.0028,51.0028,34.1693,2.73255,2.73255,2.24425,2.24425,185.017149185,185.017149185,,,,,,,,,,,,,,,,,,,,,,,,,,,
000100.SZ,TCL科技（定转）,20201116.0,7.19,0,0,1,1,1,6,电子,光学光电子,面板,-1.17,通过,-0.06,通过,-0.4,通过,通过,0.0,不建议本阶段参与该企业的本笔定向增发,1.25,1.0,1.0,1.0,7.28,不通过,59.85,差,16.35,13.12,66.12,较差,17.25,18.5,63.7,较差,17.7,16.38,58.47,差,16.35,13.25,57.85,差,16.5,13.75,0.3437,2.2095,0.1768,0.7,0.433,0.5962,0.1431,0.5167,0.4728,0.8196,0.3934,0.5167,0.5409,1.0841,1.0841,0.524,6.5,6.45,6.68,6.37,5.62,7.19,4.99,4.86,1.3,0.5962,0.433,331.0,20201116.0,20201113.0,20201116.0,47.0581,3.1281,1.4995,53.34,2.02,850831.SI,面板,749.33086,39.76839,26.17765,39.76839,36.367256,201.1621,-66.67863,2019.0,1133.60076,40.92202,34.68211,40.92202,28.7865048,327.98364,-205.29377,2018.0,1115.77362,41.12924,26.64395,41.12924,26.0783832,156.56963,-64.47348,2017.0,1064.735,1.28536,16.02126,1.28536,30.1764064,145.42304,-65.14302,2016.0,1045.79482,13.407,25.67001,13.407,20.8337152,165.77956,-91.83881,2015.0,1.102575000000012,183.22138000000012,0.6804250000000087,6.5,7.19,ma20_discount_90,2025175746.0,1,1362.68,0.2582,0.8543,0.0683,0.55,0.2784,-0.1265,-0.0304,0.4833,0.3305,0.2782,0.1335,0.5167,0.3812,0.2956,0.2956,0.544,1366.55,1372.55,1351.97,1265.38,-0.1265,0.2784,673.0,18.0,96.03638333333335,50.003,99.60179334070051,3.452311111111111,2.814,5.212138888888889,4.0593,202.40529410611109,60.958416850000006,,,,,,,,,,,,,,,,,,,,,,,,,,,
000155.SZ,川能动力,20211220.0,25.35,0,0,0,1,0,4,公用事业,电力,风力发电,-1.01,通过,-0.92,通过,0.46,通过,通过,-0.1,不建议本阶段参与该企业的本笔定向增发,-1.74,0.0,1.0,1.0,24.91,不通过,75.75,中等,19.95,15.75,73.38,中等,19.95,14.12,70.88,中等,17.55,14.62,69.8,较差,16.8,14.75,72.5,中等,16.95,17.75,0.39773592337627245,0.5386710543128523,0.03507462686567164,0.42105263157894735,0.4357018220543698,0.947208405176049,0.17343485617597287,0.423728813559322,0.3497570955226944,-0.15055387888679161,-0.07533333333333336,0.4117647058823529,,,,,12.9625,,12.260666666666664,12.83,,13.87,,,,-0.3260597220411255,0.3226618332159328,235.0,,,,194.66,8.3886,12.6951,29.43,5.23,851617.SI,风力发电,19.9650780632,4.034492636,1.5329141686,4.034492636,3.826512408248,15.1336676994,-9.7881829774,2020.0,20.511058171600002,3.5980678826999997,2.148473045,3.5980678826999997,2.3135696329360003,9.9043967205,-1.073053234799999,2019.0,42.720433999099996,2.4472803877000002,3.0095177794,2.4472803877000002,2.45627678788,6.9591249948,0.5322314273000002,2018.0,65.0912320916,2.9010175107,3.2489716042000003,2.9010175107,2.077439186488,8.0123361532,-8.464707217,2017.0,18.123979318499998,3.6854905722000004,8.6858332485,3.6854905722000004,8.883144000000001e-05,0.0373759,-11.820044346400001,2016.0,5.1602072023500005,11.377677967950001,-0.7936061241500001,28.0,25.35,ma20_discount_90,225087469.52,1,2437.79,0.3475,0.0235,0.0019,0.5,0.4157,-0.1152,-0.0276,0.5,0.4473,0.7599,0.3648,0.5583,0.4913,1.0745,1.0745,0.548,2450.18,2415.39,2244.74,1892.56,-0.1152,0.4157,675.0,9.0,41.052477777777774,36.2518,24.284372717301952,2.918211111111111,3.0913,7.806377777777777,9.8182,414.7903698077778,173.17264901000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
