feature,iv,coverage,n_bins,skip,lgb_importance,iv_rank,lgb_rank,combined_rank
市场波动率_120d,0.18137984978516256,1.0,5,False,101,1,1,1.0
市场波动率比值,0.1488181484325728,1.0,5,False,73,2,2,2.0
个股PB,0.11702804779425291,1.0,5,False,55,3,9,6.0
盈利能力_delta_1y,0.080316758699478,1.0,5,False,61,11,5,8.0
市场距离MA250,0.09668606679420474,1.0,5,False,47,4,14,9.0
总分_delta_1y,0.06457043635384141,1.0,5,False,61,16,5,10.5
净利润,0.06069764809856331,1.0,5,False,51,19,12,15.5
净资产增长,0.06889806334656756,1.0,5,False,38,13,25,19.0
行业胜率_120d,0.05957594393963956,1.0,5,False,39,20,22,21.0
数据天数,0.09448112034150791,1.0,5,False,30,5,41,23.0
PB_vs_行业,0.06099824734517434,1.0,5,False,30,18,41,29.5
PB_vs_同行均值,0.07384424349435878,1.0,5,False,28,12,51,31.5
行业年化收益_20d,0.049156207654853616,1.0,5,False,35,31,32,31.5
行业波动率_250d,0.043023583272637375,1.0,5,False,43,48,17,32.5
盈利能力_T-1,0.04630013773298071,1.0,5,False,35,40,32,36.0
行业年化收益_60d,0.04067827703218104,1.0,5,False,55,63,9,36.0
成长能力_T-2,0.06449274187141596,1.0,5,False,26,17,58,37.5
现金利息负债比,0.051808822523475864,1.0,5,False,29,29,46,37.5
行业波动率_120d,0.04509037932009573,1.0,5,False,31,41,38,39.5
研发费用率,0.06684513263915198,1.0,5,False,24,14,65,39.5
价格标准差,0.04133653308500941,1.0,5,False,37,59,28,43.5
现金流动负债比,0.055216576311548686,1.0,5,False,25,26,63,44.5
price_vs_MA250,0.03518342659394227,1.0,5,False,47,80,14,47.0
行业PB_250d增长,0.0355938819569087,1.0,4,False,44,79,16,47.5
同行市值_均值,0.033417943119559534,1.0,5,False,51,84,12,48.0
price_vs_MA20,0.03622500580300913,1.0,5,False,42,78,19,48.5
成长能力_delta_2y,0.0411654279013456,1.0,5,False,30,60,41,50.5
利息资本化率,0.04879030468644616,1.0,5,False,23,33,68,50.5
成长能力_T-1,0.04175160045418701,1.0,5,False,29,57,46,51.5
市场年化收益_120d,0.055968545126728685,1.0,5,False,21,25,80,52.5
同行PE_中位,0.03019211138169824,1.0,5,False,55,96,9,52.5
总资产周转率,0.041785794274765864,1.0,5,False,28,56,51,53.5
price_vs_MA120,0.033812788803451344,1.0,5,False,38,82,25,53.5
营收_CAGR2,0.056337467589769936,1.0,5,False,19,23,91,57.0
总分_T-1,0.04459579788266002,1.0,5,False,22,43,72,57.5
同行市值_中位,0.03102582000417636,1.0,5,False,40,95,20,57.5
毛利率,0.03248458028109297,1.0,5,False,34,86,34,60.0
成长能力_delta_1y,0.05443002037027626,1.0,5,False,18,27,97,62.0
净利率,0.05898817630806488,1.0,5,False,17,22,103,62.5
资产负债率,0.054015881670683316,1.0,5,False,18,28,97,62.5
行业区间收益_60d,0.04058185588391495,1.0,5,False,25,65,63,64.0
MA250,0.031211604661906145,1.0,5,False,31,92,38,65.0
利润增长,0.04692889697383217,1.0,5,False,18,36,97,66.5
流动比率,0.03201381853634405,1.0,5,False,29,87,46,66.5
年化收益_120d,0.029548141683136603,1.0,5,False,32,97,37,67.0
capex_intensity,0.0416119305642311,1.0,5,False,21,58,80,69.0
市场胜率_120d,0.04648273006065536,1.0,5,False,17,39,103,71.0
PB_vs_同行中位,0.06594941669281859,1.0,5,False,13,15,128,71.5
已获利息倍数,0.04272418499059634,1.0,5,False,19,55,91,73.0
行业波动率_60d,0.04277968883758492,1.0,5,False,18,52,97,74.5
存货周转率,0.041139750410203645,1.0,5,False,19,61,91,76.0
营收增长,0.04297939780027292,1.0,5,False,17,49,103,76.0
ROE,0.04294938320292708,1.0,5,False,17,50,103,76.5
MA20,0.03373307422999285,1.0,5,False,22,83,72,77.5
区间收益_60d,0.025128935226900073,1.0,5,False,29,112,46,79.0
年化收益_250d,0.021419640687212516,1.0,5,False,35,126,32,79.0
速动比率,0.059488117488198246,1.0,5,False,12,21,137,79.0
同行PE_均值,0.019128729022323668,1.0,5,False,40,139,20,79.5
锁定价当前价,0.04677939402446945,1.0,5,False,14,38,123,80.5
流动资产周转率,0.0475929425579132,1.0,5,False,13,34,128,81.0
总分_T-4,0.018567690449079507,1.0,5,False,38,143,25,84.0
波动率_60d,0.014666603821342992,1.0,5,False,67,165,3,84.0
净利润_fcf_CAGR2,0.04316241167024221,1.0,4,False,14,46,123,84.5
行业PB,0.018196719336553903,1.0,5,False,38,145,25,85.0
年化收益_60d,0.026743557072731718,1.0,5,False,23,104,68,86.0
行业区间收益_20d,0.049156207654853616,1.0,5,False,11,32,146,89.0
胜率_250d,0.024124242733484173,1.0,5,False,25,115,63,89.0
净利增长,0.03142613733627831,1.0,5,False,19,88,91,89.5
中位价,0.03949565197555933,1.0,5,False,16,70,111,90.5
营收_加速,0.025542154859256018,1.0,5,False,22,110,72,91.0
MA60,0.03891539988381008,1.0,5,False,16,72,111,91.5
波动率_250d,0.011740102297833083,1.0,5,False,56,176,7,91.5
FCF_T3,0.014956050954609551,1.0,5,False,38,162,25,93.5
波动率_20d,0.021317398074018022,1.0,5,False,26,129,58,93.5
营收_T1,0.025829474586101686,1.0,5,False,21,109,80,94.5
FCF_加速,0.021704025590617928,1.0,5,False,24,125,65,95.0
FCF_T1,0.026570367386383964,1.0,5,False,20,106,86,96.0
行业总天数,0.05598571036681582,1.0,5,False,7,24,169,96.5
总分_T-3,0.019641406924398353,1.0,5,False,26,136,58,97.0
MA120,0.039652129259955884,1.0,5,False,13,67,128,97.5
同行PB_中位,0.02842584733885531,1.0,5,False,18,99,97,98.0
营收_3年斜率,0.03951151796239066,1.0,5,False,13,69,128,98.5
行业PE_60d增长,0.015083305749986883,1.0,4,False,33,161,36,98.5
ROA,0.04315631489204983,1.0,5,False,10,47,153,100.0
个股PS,0.042742686089294955,1.0,5,False,11,54,146,100.0
vol_ratio_60_250,0.007313099126836517,1.0,5,False,65,198,4,101.0
MA30,0.039933984689151616,1.0,5,False,12,66,137,101.5
营业利润_T4,0.031051307617407632,1.0,5,False,16,93,111,102.0
FCF年份_T,0.08065750051712281,1.0,4,False,2,8,202,105.0
总分_delta_2y,0.0236260853149565,1.0,5,False,19,119,91,105.0
总资产净利率,0.04697315932554382,1.0,5,False,6,35,177,106.0
年化收益_20d,0.01699348327207101,1.0,5,False,26,154,58,106.0
资本支出_YoY,0.010070639370824934,1.0,5,False,36,183,30,106.5
营收_YoY,0.036409520224285646,1.0,5,False,12,77,137,107.0
区间收益_20d,0.019982993366049154,1.0,5,False,21,134,80,107.0
FCF年份_T1,0.08065750051712281,1.0,4,False,1,10,207,108.5
vol_ratio_20_60,0.013202213485230506,1.0,5,False,29,171,46,108.5
漂移率,0.009127425691109739,1.0,5,False,37,189,28,108.5
