特征,系数(标准化后),影响,影响强度
折旧_T2,1.0847688263327402,↑正相关（高分→盈利）,★★★
盈利能力_delta_4y,0.827365305362084,↑正相关（高分→盈利）,★★★
净利润_fcf_T3,0.7407560328900464,↑正相关（高分→盈利）,★★★
PB_vs_同行中位,0.7381477202686696,↑正相关（高分→盈利）,★★★
市场波动率_120d,0.7147545143844166,↑正相关（高分→盈利）,★★★
总分_T-4,0.6710427259755869,↑正相关（高分→盈利）,★★★
同行PE_中位,0.6253315391490797,↑正相关（高分→盈利）,★★★
营收_YoY,0.5939251417965496,↑正相关（高分→盈利）,★★★
成长能力_T,0.5781187990103982,↑正相关（高分→盈利）,★★★
资本支出_CAGR2,0.5569425800411081,↑正相关（高分→盈利）,★★★
营收_T1,0.5473124925788234,↑正相关（高分→盈利）,★★★
MA30,0.5456535778653432,↑正相关（高分→盈利）,★★★
总分_斜率,0.5171774423633817,↑正相关（高分→盈利）,★★★
FCF_YoY,0.5105649480353666,↑正相关（高分→盈利）,★★★
当前价,0.5037796551323754,↑正相关（高分→盈利）,★★★
营收_加速,0.4982528440984542,↑正相关（高分→盈利）,★★★
锁定价当前价,0.49481718927307394,↑正相关（高分→盈利）,★★★
盈利能力_T-2,0.4748353916683026,↑正相关（高分→盈利）,★★★
报价日,0.4483146341364276,↑正相关（高分→盈利）,★★★
营收增长2,0.4481419933839699,↑正相关（高分→盈利）,★★★
盈利能力_T-4,0.434260615877944,↑正相关（高分→盈利）,★★★
总分_delta_2y,0.43149208912618503,↑正相关（高分→盈利）,★★★
区间收益_120d,0.4024123670382952,↑正相关（高分→盈利）,★★★
营收_T2,0.3975181517955175,↑正相关（高分→盈利）,★★★
行业胜率_120d,0.38483351528258336,↑正相关（高分→盈利）,★★★
MA250,0.37087012517947576,↑正相关（高分→盈利）,★★★
FCF年份_T4,0.3543377510962866,↑正相关（高分→盈利）,★★★
折旧_T,0.34931665137959717,↑正相关（高分→盈利）,★★★
营收_T,0.32064229066997363,↑正相关（高分→盈利）,★★★
PB_vs_同行均值,0.3174667952644432,↑正相关（高分→盈利）,★★★
同行市值_均值,0.2873011664432923,↑正相关（高分→盈利）,★★
总分_T-3,0.2793294610568476,↑正相关（高分→盈利）,★★
价格标准差,0.275809298845144,↑正相关（高分→盈利）,★★
资本支出_T4,0.26836654382908676,↑正相关（高分→盈利）,★★
速动比率,0.26609505127910543,↑正相关（高分→盈利）,★★
return_acceleration,0.24683479403889502,↑正相关（高分→盈利）,★★
波动率,0.23593360192353588,↑正相关（高分→盈利）,★★
行业MA250,0.2285770693558651,↑正相关（高分→盈利）,★★
行业区间收益_250d,0.22219932110266266,↑正相关（高分→盈利）,★★
行业年化收益_250d,0.22219932110266266,↑正相关（高分→盈利）,★★
营业利润_T1,0.22165265976503257,↑正相关（高分→盈利）,★★
NOPAT_T1,0.22044753155961075,↑正相关（高分→盈利）,★★
营收_3年斜率,0.2044466146270241,↑正相关（高分→盈利）,★★
成长能力_T-2,0.20284393124936348,↑正相关（高分→盈利）,★★
行业PE_120d增长,0.19939607217091038,↑正相关（高分→盈利）,★★
胜率_250d,0.19321577923252628,↑正相关（高分→盈利）,★★
资本支出_T1,0.18920721196956625,↑正相关（高分→盈利）,★★
净利润_fcf_加速,0.1832695678554384,↑正相关（高分→盈利）,★★
price_vs_MA60,0.1809435296380115,↑正相关（高分→盈利）,★★
年化收益_20d,0.1797663226324521,↑正相关（高分→盈利）,★★
PE_vs_同行均值,0.17968925575109826,↑正相关（高分→盈利）,★★
折旧_T3,0.1765167330023022,↑正相关（高分→盈利）,★★
行业年化收益_20d,0.1716734522893069,↑正相关（高分→盈利）,★★
行业区间收益_20d,0.1716046943330728,↑正相关（高分→盈利）,★★
行业波动率_60d,0.16775549980740842,↑正相关（高分→盈利）,★★
行业波动率_总,0.16775549980740842,↑正相关（高分→盈利）,★★
市场胜率_120d,0.1621321960623982,↑正相关（高分→盈利）,★★
行业PB_60d增长,0.15237701277182863,↑正相关（高分→盈利）,★★
资本支出_YoY,0.15174746498533936,↑正相关（高分→盈利）,★★
流动比率,0.1478171979051606,↑正相关（高分→盈利）,★
年化收益_60d,0.14471744345917067,↑正相关（高分→盈利）,★
已获利息倍数,0.13656879865038132,↑正相关（高分→盈利）,★
净利润_fcf_T2,0.12881633022519365,↑正相关（高分→盈利）,★
NOPAT_T4,0.12660441425083463,↑正相关（高分→盈利）,★
营业利润_T4,0.12660441425083463,↑正相关（高分→盈利）,★
盈利能力_delta_2y,0.12168087257175193,↑正相关（高分→盈利）,★
FCF_margin,0.11636953437688402,↑正相关（高分→盈利）,★
产权比率,0.11463926563279234,↑正相关（高分→盈利）,★
vol_ratio_60_250,0.11078423043723881,↑正相关（高分→盈利）,★
营收增长,0.10650590764570105,↑正相关（高分→盈利）,★
FCF_3年斜率,0.1049484991775021,↑正相关（高分→盈利）,★
区间收益_20d,0.10031039571428575,↑正相关（高分→盈利）,★
同行PE_标准差,0.09779035165422574,↑正相关（高分→盈利）,★
行业MA60,0.09767641676840326,↑正相关（高分→盈利）,★
净利润_fcf_T,0.0976658373241243,↑正相关（高分→盈利）,★
营业利润_T,0.08912787403963894,↑正相关（高分→盈利）,★
capex_intensity,0.08800839293467685,↑正相关（高分→盈利）,★
ROE增长,0.08170482270923732,↑正相关（高分→盈利）,★
总营收增长,0.08135026060713965,↑正相关（高分→盈利）,★
营业利润_YoY,0.08114854873225463,↑正相关（高分→盈利）,★
ROE,0.08008660463118655,↑正相关（高分→盈利）,★
ROE摊薄,0.08008660463118655,↑正相关（高分→盈利）,★
NOPAT_YoY,0.07958448782180896,↑正相关（高分→盈利）,★
净利润_fcf_T4,0.07927876092639179,↑正相关（高分→盈利）,★
胜率_60d,0.07770595967430889,↑正相关（高分→盈利）,★
研发费用率,0.0762287982800999,↑正相关（高分→盈利）,★
应收账款周转率,0.07579573252200549,↑正相关（高分→盈利）,★
邀请日,0.07323283272425278,↑正相关（高分→盈利）,★
总分_delta_4y,0.07317654173876534,↑正相关（高分→盈利）,★
NOPAT_T,0.06980180267355418,↑正相关（高分→盈利）,★
行业胜率_60d,0.06918273621005128,↑正相关（高分→盈利）,★
净利润_fcf_CAGR2,0.06296960758155755,↑正相关（高分→盈利）,★
行业总天数,0.06028010035513041,↑正相关（高分→盈利）,★
ROA,0.05915594801728451,↑正相关（高分→盈利）,★
行业PE_60d增长,0.05617213538176813,↑正相关（高分→盈利）,★
个股PS,0.05597446124516735,↑正相关（高分→盈利）,★
市场距离MA250,0.05383846802096288,↑正相关（高分→盈利）,★
成长能力_delta_2y,0.05364551423925799,↑正相关（高分→盈利）,★
PE_vs_同行中位,0.04923588085427454,↑正相关（高分→盈利）,★
行业PE,0.042619988986097396,↑正相关（高分→盈利）,★
行业波动率_250d,0.04234159863985143,↑正相关（高分→盈利）,★
同行PS_均值,0.04148902352269474,↑正相关（高分→盈利）,★
资产负债率,0.03322748584791984,↑正相关（高分→盈利）,★
个股PE,0.027012771685958815,↑正相关（高分→盈利）,★
漂移率,0.015565790156831974,↑正相关（高分→盈利）,★
现金利息负债比,0.008493562418276231,↑正相关（高分→盈利）,★
溢价率上限,0.0018771681661075438,↑正相关（高分→盈利）,★
盈利能力_T-3,-0.0011113941081375119,↓负相关（高分→亏损）,★
流动资产周转率,-0.0012700451380074807,↓负相关（高分→亏损）,★
总资产净利率,-0.0076063138643137195,↓负相关（高分→亏损）,★
个股PB,-0.010954898064715536,↓负相关（高分→亏损）,★
净利增长,-0.01474985366950911,↓负相关（高分→亏损）,★
扣非净利增长,-0.01474985366950911,↓负相关（高分→亏损）,★
行业波动率_120d,-0.014821143324673235,↓负相关（高分→亏损）,★
胜率_20d,-0.017639161093774492,↓负相关（高分→亏损）,★
行业年化收益_60d,-0.02009734021507293,↓负相关（高分→亏损）,★
行业漂移率,-0.02009734021507293,↓负相关（高分→亏损）,★
波动率_20d,-0.022533779634281492,↓负相关（高分→亏损）,★
capex_to_dep,-0.022620810382926883,↓负相关（高分→亏损）,★
行业区间收益_60d,-0.022811074943399793,↓负相关（高分→亏损）,★
盈利能力_T,-0.025892678645470655,↓负相关（高分→亏损）,★
净利润,-0.03278732519580882,↓负相关（高分→亏损）,★
资本支出_T3,-0.03800908130911248,↓负相关（高分→亏损）,★
FCF_CAGR2,-0.0449067871191126,↓负相关（高分→亏损）,★
报价日价格,-0.05058913814937623,↓负相关（高分→亏损）,★
报价日_md,-0.055612432855678316,↓负相关（高分→亏损）,★
MA120,-0.06133325334244728,↓负相关（高分→亏损）,★
同行公司数,-0.06728603046838116,↓负相关（高分→亏损）,★
年化收益_250d,-0.0721396331707349,↓负相关（高分→亏损）,★
区间收益_250d,-0.0721396331707349,↓负相关（高分→亏损）,★
波动率_120d,-0.07284573792926768,↓负相关（高分→亏损）,★
资本支出_加速,-0.0755844415154086,↓负相关（高分→亏损）,★
price_vs_MA250,-0.07800278697384634,↓负相关（高分→亏损）,★
营业利润_T2,-0.07834692189333198,↓负相关（高分→亏损）,★
NOPAT_T2,-0.07975870124032756,↓负相关（高分→亏损）,★
FCF年份_T,-0.08689146597277049,↓负相关（高分→亏损）,★
FCF年份_T1,-0.08689146597277049,↓负相关（高分→亏损）,★
FCF年份_T2,-0.08689146597277049,↓负相关（高分→亏损）,★
vol_ratio_20_60,-0.09167012391398582,↓负相关（高分→亏损）,★
利润增长,-0.09478162348602501,↓负相关（高分→亏损）,★
FCF_conversion,-0.09670128461847993,↓负相关（高分→亏损）,★
利息资本化率,-0.09847641403818203,↓负相关（高分→亏损）,★
净利润_fcf_T1,-0.10542391515256162,↓负相关（高分→亏损）,★
同行PS_中位,-0.11259593972297026,↓负相关（高分→亏损）,★
净利润_fcf_YoY,-0.11613488086362608,↓负相关（高分→亏损）,★
行业PB_250d增长,-0.11765383090924486,↓负相关（高分→亏损）,★
营业利润_加速,-0.12096803244715322,↓负相关（高分→亏损）,★
NOPAT_加速,-0.12123874549453112,↓负相关（高分→亏损）,★
现金流动负债比,-0.12366079286916906,↓负相关（高分→亏损）,★
存货周转率,-0.12828076828337914,↓负相关（高分→亏损）,★
盈利能力_delta_1y,-0.12938501663086036,↓负相关（高分→亏损）,★
行业PE_250d增长,-0.13205545701302612,↓负相关（高分→亏损）,★
行业PB_120d增长,-0.13299425394440462,↓负相关（高分→亏损）,★
