feature,importance
报价日,203
市场波动率_120d,85
市场波动率比值,64
盈利能力_delta_1y,63
总分_T-2,60
价格标准差,58
市场距离MA250,52
行业PB,51
PB_vs_行业,51
成长能力_T-2,50
年化收益_250d,48
个股PB,47
波动率_20d,47
波二_retr,46
同行市值_均值,45
同行PE_中位,45
报价日_md,44
price_vs_MA20,44
vol_ratio_20_60,44
年化收益_120d,43
波动率_250d,43
总分_delta_4y,43
PE_vs_行业,40
行业胜率_120d,38
FCF_conversion,38
同行市值_中位,37
行业年化收益_20d,37
成长能力_T-3,37
成长能力_delta_2y,37
资本支出_CAGR2,37
盈利能力_T-4,36
资本支出_T4,36
波动率_60d,36
price_vs_MA120,36
总分_delta_1y,35
资本支出_YoY,35
净利润,35
行业年化收益_60d,35
总分_T-4,35
数据天数,34
行业PB_250d增长,34
盈利能力_T,33
总分_T,33
胜率_250d,33
vol_ratio_60_250,33
成长能力_delta_4y,32
FCF_T3,29
行业PE_120d增长,29
盈利能力_T-1,29
营收_加速,28
市场胜率_120d,28
总营收增长,27
行业波动率_250d,27
行业波动率_120d,27
price_vs_MA250,26
波动率,25
行业波动率_60d,25
同行公司数,25
行业区间收益_60d,25
行业年化收益_120d,25
同行PE_均值,25
行业MA250,25
现金利息负债比,25
PB_vs_同行均值,25
中位价,25
总分_斜率,24
净利润_fcf_CAGR2,24
年化收益_20d,23
市场年化收益_120d,23
总分_delta_2y,23
PE_vs_同行均值,22
capex_intensity,22
波动率_120d,22
PS_vs_同行均值,22
盈利能力_斜率,22
同行PB_均值,21
总分_T-3,21
成长能力_斜率,21
行业PE,21
产权比率,21
个股PE,21
漂移率,20
营收_T1,20
盈利能力_T-3,20
price_vs_MA60,20
成长能力_delta_1y,20
盈利能力_delta_2y,20
胜率_20d,19
return_acceleration,19
行业PE_60d增长,19
应收账款周转率,18
同行PB_中位,18
折旧_T4,18
MA30,18
报价日MA20,18
净利润_fcf_YoY,18
波二_gain,18
营收_T,17
资本支出_T3,17
营收_CAGR2,17
capex_to_dep,17
盈利能力_delta_4y,17
行业年化收益_250d,17
邀请日,17
PE_vs_同行中位,17
行业波动率_20d,16
FCF_CAGR2,16
抵抗_corr_div_stock,16
成长能力_T,16
营收_T3,16
胜率_120d,16
ROA,15
MA120,15
区间收益_20d,15
FCF_T4,14
资本支出_T1,14
NOPAT_3年斜率,14
行业胜率_250d,14
行业胜率_20d,14
同行PE_标准差,14
营收_YoY,13
PB_vs_同行中位,13
已获利息倍数,13
营收_T4,13
营业利润_T3,13
MA250,13
资本支出_T2,13
营收_3年斜率,12
FCF_3年斜率,12
净利润_fcf_T3,12
报价日价格,12
总分_T-1,12
行业MA20,12
FCF_YoY,12
研发费用率,12
同行PS_中位,12
年化收益_60d,11
NOPAT_加速,11
NOPAT_YoY,11
NOPAT_margin,11
行业PE_250d增长,11
成长能力_T-1,11
FCF_T2,11
净利润_fcf_T1,11
MA20,10
行业总天数,10
成长能力_T-4,10
FCF_T1,10
毛利率,10
胜率_60d,9
折旧_T,9
同行PS_均值,9
区间收益_250d,9
均价_all,9
行业MA120,8
行业区间收益_120d,8
区间收益_120d,8
个股PS,8
FCF_T,8
营业利润_T1,8
行业PB_120d增长,8
资产负债率,8
FCF_margin,7
资本支出_加速,7
流动资产周转率,7
利息资本化率,7
流动比率,7
行业区间收益_20d,7
营收_T2,7
净利润_fcf_T2,7
行业胜率_60d,7
净利润_fcf_加速,7
利润增长,6
ROE,6
NOPAT_CAGR2,6
行业PB_60d增长,6
盈利能力_T-2,6
FCF_加速,5
行业区间收益_250d,5
锁定价当前价,5
折旧_T3,5
折旧_T2,5
营业利润_T4,5
当前价,5
资本支出_T,4
营业利润_T,4
净利润_fcf_T,4
存货周转率,4
行业漂移率,4
行业MA60,4
ROE增长,4
现金流动负债比,4
速动比率,4
营业利润_YoY,3
总资产周转率,3
扣非净利增长,3
净利率,3
总资产净利率,3
区间收益_60d,3
NOPAT_T3,3
NOPAT_T1,3
FCF年份_T,3
营业利润_T2,3
折旧_T1,3
MA60,2
溢价率上限,2
行业波动率_总,2
NOPAT_T4,1
营业利润_加速,1
净资产增长,1
FCF年份_T3,1
营收增长,1
净利润_fcf_T4,1
NOPAT_T2,1
FCF年份_T1,0
NOPAT_T,0
FCF年份_T4,0
FCF年份_T2,0
净利增长,0
ROE摊薄,0
营收增长2,0
营业利润_CAGR2,0
波二_score,0
抵抗_score,0
