feature,iv,coverage,n_bins,skip,lgb_rank,combined_rank
return_7m,14.304804944172101,1.0,5,False,999,1
macro_ppi_yoy,0.40402332312670947,1.0,5,False,999,2
macro_ppi_cpi_spread,0.4001129755369028,1.0,5,False,999,3
MACD_M_DEA,0.2836953234039207,1.0,5,False,999,4
MACD_M_DIF,0.18166903373156496,1.0,5,False,999,5
MACD_M_HIST,0.18102386719024344,1.0,5,False,999,6
MACD_HIST,0.13183022956332924,1.0,5,False,999,7
行业idx_xsii_td3_bfq,0.12545354520557536,1.0,5,False,999,8
行业idx_xsii_td4_bfq,0.12545354520557536,1.0,5,False,999,9
行业idx_high,0.12289130381922332,1.0,5,False,999,10
MACD_DIF,0.12190444663126786,1.0,5,False,999,11
行业idx_close,0.12185207197138317,1.0,5,False,999,12
行业idx_pre_close,0.11968460641551049,1.0,5,False,999,13
行业idx_low,0.11968460641551049,1.0,5,False,999,14
行业idx_open,0.11851266851515499,1.0,5,False,999,15
行业idx_xsii_td1_bfq,0.11814669361129584,1.0,5,False,999,16
行业idx_xsii_td2_bfq,0.11814669361129584,1.0,5,False,999,17
行业idx_ema_bfq_5,0.11537877141395086,1.0,5,False,999,18
行业idx_ma_bfq_5,0.11537877141395086,1.0,5,False,999,19
macro_m1_yoy,0.11524088380218833,1.0,5,False,999,20
行业idx_ktn_down_bfq,0.11481708362779917,1.0,5,False,999,21
行业idx_ema_bfq_60,0.1143621324293834,1.0,5,False,999,22
行业idx_ema_bfq_30,0.11357043380364204,1.0,5,False,999,23
行业idx_ktn_mid_bfq,0.11357043380364204,1.0,5,False,999,24
行业idx_ema_bfq_20,0.11357043380364204,1.0,5,False,999,25
turnover_mean_250,0.11232615895244931,1.0,5,False,999,26
行业idx_ema_bfq_90,0.11215281626256085,1.0,5,False,999,27
行业idx_bbi_bfq,0.11208269489949639,1.0,5,False,999,28
行业idx_boll_upper_bfq,0.11208269489949639,1.0,5,False,999,29
行业idx_ktn_upper_bfq,0.1118671979418503,1.0,5,False,999,30
行业idx_expma_12_bfq,0.11102693526921843,1.0,5,False,999,31
行业idx_expma_50_bfq,0.10926624258440039,1.0,5,False,999,32
holder_count_chg,0.10832577456876648,1.0,5,False,999,33
行业idx_ma_bfq_10,0.10807026007349047,1.0,5,False,999,34
行业idx_ma_bfq_20,0.10695043580521044,1.0,5,False,999,35
行业idx_boll_mid_bfq,0.10695043580521044,1.0,5,False,999,36
行业idx_taq_up_bfq,0.10654129553843923,1.0,5,False,999,37
行业idx_ema_bfq_10,0.10566586501154032,1.0,5,False,999,38
行业idx_boll_lower_bfq,0.10459367461156549,1.0,5,False,999,39
行业idx_ma_bfq_30,0.10367459537185988,1.0,5,False,999,40
行业idx_taq_mid_bfq,0.10367459537185988,1.0,5,False,999,41
行业idx_taq_down_bfq,0.10162209191593194,1.0,5,False,999,42
MACD_DEA,0.10098939466371992,1.0,5,False,999,43
行业idx_ma_bfq_60,0.10078119202204101,1.0,5,False,999,44
pledge_count,0.10025947079939368,1.0,4,False,999,45
行业idx_ma_bfq_90,0.10017024000831215,1.0,5,False,999,46
大盘MA10_slope3pct,0.09516701559730031,1.0,5,False,999,47
macro_cpi_yoy,0.09147815447363107,1.0,5,False,999,48
MACD_W_HIST,0.08885195689345382,1.0,5,False,999,49
营收_T3,0.08735569023972434,1.0,4,False,999,50
行业idx_ema_bfq_250,0.08728166600931829,1.0,5,False,999,51
MACD_W_DIF,0.08705606719632919,1.0,5,False,999,52
BOLL_M_BW,0.08374820687787904,1.0,5,False,999,53
行业idx_ma_bfq_250,0.08304597855599499,1.0,5,False,999,54
MACD_W_DEA,0.08283704119622873,1.0,5,False,999,55
turnover_skew_250,0.08104727174192358,1.0,5,False,999,56
行业idx_atr_bfq,0.08091224858932523,1.0,5,False,999,57
turnover_mean_20,0.07981903221792058,1.0,5,False,999,58
macro_m2_yoy,0.07953199470008591,1.0,5,False,999,59
营收_T4,0.077202301737508,1.0,4,False,999,60
行业idx_macd_bfq,0.07632709792834314,1.0,5,False,999,61
三浪_gain,0.07284850077382274,1.0,4,False,999,62
turnover_mean_M,0.07179827864287888,1.0,5,False,999,63
turnover_mean_120,0.07066959449129566,1.0,5,False,999,64
净利润_fcf_T3,0.0703689514405004,1.0,4,False,999,65
turnover_std_250,0.06790525687118484,1.0,5,False,999,66
turnover_std_20,0.06428246882875616,1.0,5,False,999,67
turnover_now,0.06365330806093446,1.0,5,False,999,68
行业PB_120d增长,0.06330306222849774,1.0,5,False,999,69
turnover_mean_W,0.0631976023367731,1.0,5,False,999,70
turnover_mean_60,0.06273097123048885,1.0,5,False,999,71
成长能力_斜率,0.06030038097523698,1.0,5,False,999,72
vwap_dist,0.06015923732190909,1.0,5,False,999,73
BOLL_W_BW,0.059695205563511704,1.0,5,False,999,74
idiovol_120,0.058977646143468884,1.0,5,False,999,75
总分_T-2,0.057654379567720265,1.0,5,False,999,76
macro_m1_m2_scissor,0.05753175264092925,1.0,5,False,999,77
行业idx_psyma_bfq,0.05656170801745745,1.0,5,False,999,78
成长能力_T-4,0.05567912486673276,1.0,4,False,999,79
行业区间收益_250d,0.055374729108082804,1.0,5,False,999,80
行业年化收益_250d,0.055374729108082804,1.0,5,False,999,81
毛利率,0.05462977034353283,1.0,5,False,999,82
NOPAT_margin,0.05412231197631766,1.0,5,False,999,83
成长能力_delta_2y,0.053776108277508415,1.0,5,False,999,84
盈利能力_T,0.04984135793806749,1.0,5,False,999,85
折旧_T3,0.04970596532575877,1.0,4,False,999,86
营业利润_T4,0.04967313600131494,1.0,4,False,999,87
NOPAT_T4,0.04967313600131494,1.0,4,False,999,88
pvt_slope_20,0.049465401125967104,1.0,5,False,999,89
折旧_T4,0.049213254035719134,1.0,4,False,999,90
ROC_10,0.04839694125180332,1.0,5,False,999,91
turnover_std_60,0.048366900746492886,1.0,5,False,999,92
行业年化收益_60d,0.04820362950345115,1.0,5,False,999,93
行业区间收益_60d,0.04820362950345115,1.0,5,False,999,94
行业idx_dmi_adx_bfq,0.046539576155992815,1.0,5,False,999,95
净利率,0.04609347734978967,1.0,5,False,999,96
turnover_skew_120,0.046083702431061045,1.0,5,False,999,97
行业idx_amount,0.04528949088006261,1.0,5,False,999,98
月线MA10_slope3pct,0.045065279924314444,1.0,5,False,999,99
turnover_std_120,0.045060150843358474,1.0,5,False,999,100
turnover_std_W,0.04501800476169038,1.0,5,False,999,101
存货周转率,0.04492739634868995,1.0,5,False,999,102
募集市值比,0.04485325298440633,1.0,5,False,999,103
行业idx_obv_bfq,0.0446674212195396,1.0,5,False,999,104
净利润_fcf_T4,0.04307945925172476,1.0,4,False,999,105
行业idx_change,0.04212946869922907,1.0,5,False,999,106
turnover_std_M,0.041748053979746146,1.0,5,False,999,107
行业idx_asi_bfq,0.041720736659508977,1.0,5,False,999,108
行业PB,0.04158094029906226,1.0,5,False,999,109
FCF_T2,0.040643777262466645,1.0,4,False,999,110
资本支出_T,0.03973976045968136,1.0,5,False,999,111
总分_T,0.039435618454886315,1.0,5,False,999,112
FCF_T3,0.03939115293668341,1.0,4,False,999,113
NOPAT_CAGR2,0.0392795090031722,1.0,4,False,999,114
营业利润_CAGR2,0.0392795090031722,1.0,4,False,999,115
行业idx_vr_bfq,0.03896652128879026,1.0,5,False,999,116
PB_vs_同行中位,0.03870974201738918,1.0,5,False,999,117
盈利能力_T-4,0.03774068023963229,1.0,4,False,999,118
行业年化收益_120d,0.03695077546174004,1.0,5,False,999,119
行业区间收益_120d,0.03695077546174004,1.0,5,False,999,120
资本支出_T3,0.03633673701725247,1.0,4,False,999,121
现金流动负债比,0.03615619342576696,1.0,5,False,999,122
k_KLOW,0.03604431901876236,1.0,5,False,999,123
FCF_margin,0.03532616583189074,1.0,5,False,999,124
营收_T2,0.03506118832841162,1.0,4,False,999,125
总分_斜率,0.034753892395187884,1.0,5,False,999,126
营收_3年斜率,0.034294324314012525,1.0,4,False,999,127
k_KMID2,0.03413737203998655,1.0,5,False,999,128
盈利能力_delta_1y,0.033393920235828656,1.0,4,False,999,129
ret_skew_20,0.03254170476801972,1.0,5,False,999,130
总资产净利率,0.032308885982034755,1.0,5,False,999,131
行业idx_dpo_bfq,0.032123438210523825,1.0,5,False,999,132
FCF_CAGR2,0.03207546719750059,1.0,4,False,999,133
总营收增长,0.0319981058618894,1.0,5,False,999,134
营收增长2,0.031134638712816846,1.0,5,False,999,135
vol_surge_20,0.031009410348074327,1.0,5,False,999,136
现金利息负债比,0.030475957349609607,1.0,5,False,999,137
corr_close_vol_20,0.03035916688525764,1.0,5,False,999,138
定增稀释率,0.030219165931682494,1.0,5,False,999,139
gross_margin_industry_rank,0.02998155736442227,1.0,4,False,999,140
总分_delta_1y,0.02996660382449738,1.0,5,False,999,141
smc_displacement_M,0.029716542681975225,1.0,5,False,999,142
NOPAT_T,0.029649135856945154,1.0,5,False,999,143
营业利润_T,0.029649135856945154,1.0,5,False,999,144
净利润_fcf_T1,0.029544299737690162,1.0,5,False,999,145
turnover_skew_60,0.029411382896300034,1.0,5,False,999,146
FCF_T1,0.02867246353295753,1.0,5,False,999,147
总分_delta_2y,0.027895604806920323,1.0,5,False,999,148
行业PE_250d增长,0.027807484682359232,1.0,5,False,999,149
capex_to_dep,0.027679242865040758,1.0,5,False,999,150
营业利润_T3,0.027376927767900187,1.0,4,False,999,151
NOPAT_T3,0.027376927767900187,1.0,4,False,999,152
FCF_T,0.027177925455624103,1.0,5,False,999,153
市场波动率_120d,0.026806967191461226,1.0,2,False,999,154
k_KMID,0.026611825801021012,1.0,5,False,999,155
流动资产周转率,0.026609025487005472,1.0,5,False,999,156
BOLL_BW,0.02600665478108825,1.0,5,False,999,157
总资产周转率,0.025955108109983194,1.0,5,False,999,158
smc_fvg_net_W,0.02595299950531826,1.0,5,False,999,159
盈利能力_delta_2y,0.02569140857036535,1.0,5,False,999,160
行业idx_asit_bfq,0.02563566129293787,1.0,5,False,999,161
mf_sm_net_ratio_20d,0.025625837387208722,1.0,5,False,999,162
盈利能力_T-2,0.02559967435764245,1.0,5,False,999,163
ROC_W_3,0.02540289988865614,1.0,5,False,999,164
盈利能力_T-1,0.02529747266621731,1.0,5,False,999,165
净利润_fcf_T,0.025294689417405345,1.0,5,False,999,166
行业idx_mass_bfq,0.024988471323132797,1.0,5,False,999,167
流动比率,0.024733799987783064,1.0,5,False,999,168
成长能力_T,0.02449790408578942,1.0,5,False,999,169
行业idx_kdj_d_bfq,0.024090537471552865,1.0,5,False,999,170
NOPAT_T1,0.024090537471552865,1.0,5,False,999,171
营业利润_T1,0.024090537471552865,1.0,5,False,999,172
营收_加速,0.02394613457370788,1.0,4,False,999,173
行业年化收益_20d,0.0238428723521134,1.0,5,False,999,174
行业区间收益_20d,0.023801576177655995,1.0,5,False,999,175
行业PE_60d增长,0.023787484931218142,1.0,5,False,999,176
净利润_fcf_CAGR2,0.02371354514455148,1.0,4,False,999,177
ROA,0.02361771192821803,1.0,5,False,999,178
市场距离MA250,0.02360594185784142,1.0,3,False,999,179
行业idx_mfi_bfq,0.023084130389154432,1.0,5,False,999,180
KDJ_M_D,0.022875030707377633,1.0,5,False,999,181
mf_main_net_ratio_20d,0.022848857195561102,1.0,5,False,999,182
ROC_M_1,0.022601535631809812,1.0,5,False,999,183
k_KUP,0.022423103300563123,1.0,5,False,999,184
行业idx_lowdays,0.022421335280425263,1.0,3,False,999,185
净资产增长,0.022391901067809222,1.0,5,False,999,186
资本支出_T1,0.022314859090658317,1.0,5,False,999,187
行业idx_bias2_bfq,0.02223866064485439,1.0,5,False,999,188
chip_avg_cost_dev,0.021842054519575806,1.0,2,False,999,189
KDJ_W_K,0.021638899264848695,1.0,5,False,999,190
行业PB_250d增长,0.02147587004320669,1.0,5,False,999,191
smc_liqvoid_W,0.021432432796784612,1.0,2,False,999,192
总分_T-1,0.02142869796754834,1.0,5,False,999,193
repurchase_recent_d,0.02124275575101254,1.0,2,False,999,194
行业PE_120d增长,0.02115592124538746,1.0,5,False,999,195
盈利能力_T-3,0.021088304444003513,1.0,5,False,999,196
ROC_M_3,0.020724615040095158,1.0,5,False,999,197
sue_yoy_acc,0.020552436467011118,1.0,5,False,999,198
行业idx_mtmma_bfq,0.020544480324033006,1.0,5,False,999,199
ret_skew_60,0.02012241795610728,1.0,5,False,999,200
ROC_5,0.019756773395359393,1.0,5,False,999,201
速动比率,0.019633106330432065,1.0,5,False,999,202
NOPAT_3年斜率,0.019615017251394216,1.0,4,False,999,203
行业idx_pct_change,0.019495486190972924,1.0,5,False,999,204
营收_CAGR2,0.019348809657861864,1.0,4,False,999,205
行业idx_macd_dif_bfq,0.019342016064892747,1.0,5,False,999,206
营收_YoY,0.019125328626583,1.0,5,False,999,207
利润增长,0.01892981650864321,1.0,5,False,999,208
行业PB_60d增长,0.018872630115195015,1.0,5,False,999,209
smc_displacement_W,0.018847925715375805,1.0,5,False,999,210
vol_mom_5_20,0.018782902950175717,1.0,5,False,999,211
资本支出_YoY,0.018535102275902254,1.0,5,False,999,212
资本支出_T4,0.018518040605085495,1.0,4,False,999,213
mf_main_net_ratio_5d,0.018465585800279953,1.0,5,False,999,214
总分_T-4,0.01828368304445016,1.0,4,False,999,215
行业idx_trma_bfq,0.01819236813341362,1.0,5,False,999,216
行业idx_ma_mass_bfq,0.018155444536915595,1.0,5,False,999,217
ROC_20,0.017967846354707776,1.0,5,False,999,218
三浪_retr,0.017879097378715417,1.0,2,False,999,219
chip_cost_spread,0.01771976514562108,1.0,2,False,999,220
行业idx_vol,0.01765712752457032,1.0,5,False,999,221
折旧_T,0.01747778668611912,1.0,5,False,999,222
k_KLEN,0.017310114258321227,1.0,5,False,999,223
行业idx_rsi_bfq_12,0.017202244310011182,1.0,5,False,999,224
行业PE,0.01715337113000185,1.0,5,False,999,225
mf_main_mom,0.01711584450113583,1.0,5,False,999,226
smc_premium_discount,0.017105059414568184,1.0,5,False,999,227
RSI_M,0.017068443243341423,1.0,5,False,999,228
行业idx_updays,0.017043864517416484,1.0,3,False,999,229
smc_liqvoid,0.017009352365291202,1.0,4,False,999,230
holder_count,0.01696647956328527,1.0,5,False,999,231
成长能力_T-3,0.016872560869402642,1.0,5,False,999,232
block_amount_ratio,0.016535524424001566,1.0,4,False,999,233
市场波动率比值,0.016459416553242123,1.0,3,False,999,234
行业idx_kdj_k_bfq,0.016075043018218382,1.0,5,False,999,235
smc_displacement,0.01593316380720359,1.0,5,False,999,236
行业idx_brar_ar_bfq,0.01590254577405766,1.0,5,False,999,237
营收增长,0.015837290426127006,1.0,5,False,999,238
FCF_加速,0.015721436213893845,1.0,4,False,999,239
sue_yoy_mean3,0.015636931526246775,1.0,5,False,999,240
市场年化收益_120d,0.015382706456432544,1.0,3,False,999,241
block_count_30d,0.015243755005719214,1.0,4,False,999,242
KDJ_M_J,0.0149694239102368,1.0,5,False,999,243
净利增长,0.014888655362897197,1.0,5,False,999,244
扣非净利增长,0.014888655362897197,1.0,5,False,999,245
beta_ind_120,0.014862807818221416,1.0,5,False,999,246
sue_recency_d,0.014569421660129592,1.0,5,False,999,247
beta_mkt_250,0.01452440836638385,1.0,5,False,999,248
行业idx_downdays,0.014442784240427005,1.0,2,False,999,249
行业idx_wr1_bfq,0.014427556729070349,1.0,5,False,999,250
行业idx_cci_bfq,0.014096827918734404,1.0,5,False,999,251
chip_peak_dev,0.014031910627118343,1.0,2,False,999,252
RSI_12,0.01397698743112374,1.0,5,False,999,253
cmf_20,0.013848845753769093,1.0,5,False,999,254
volratio_now,0.013156005156542376,1.0,5,False,999,255
行业idx_topdays,0.013137788780936618,1.0,3,False,999,256
margin_rzjme_5d,0.01307504620910742,1.0,2,False,999,257
行业idx_mtm_bfq,0.012881026755681223,1.0,5,False,999,258
利息资本化率,0.012857123696813966,1.0,5,False,999,259
行业idx_bias1_bfq,0.01276856777527415,1.0,5,False,999,260
insider_net_buy_90d,0.012766010795348715,1.0,4,False,999,261
KDJ_D,0.012753725304543813,1.0,5,False,999,262
FCF_T4,0.012727066803451204,1.0,4,False,999,263
成长能力_T-1,0.012722012834436828,1.0,5,False,999,264
行业idx_maroc_bfq,0.01253207848451423,1.0,5,False,999,265
mf_net_mf_ratio_20d,0.012442109544680661,1.0,5,False,999,266
行业idx_dmi_pdi_bfq,0.012269265027552361,1.0,5,False,999,267
capex_intensity,0.012084189540009956,1.0,5,False,999,268
ROE增长,0.012084189540009956,1.0,5,False,999,269
资本支出_T2,0.011935778727519157,1.0,4,False,999,270
sue_zscore,0.01185354909340247,1.0,5,False,999,271
ROE摊薄,0.011721101886204052,1.0,5,False,999,272
ROE,0.011721101886204052,1.0,5,False,999,273
obv_slope_20,0.011517783273310383,1.0,5,False,999,274
行业idx_cr_bfq,0.011304793634273114,1.0,5,False,999,275
ROC_W_1,0.01116778324005287,1.0,5,False,999,276
sue_yoy,0.011164944166173264,1.0,5,False,999,277
KDJ_J,0.011088603452196318,1.0,5,False,999,278
净利润_fcf_YoY,0.011025456161005932,1.0,5,False,999,279
ROC_60,0.011023208214776172,1.0,5,False,999,280
turnover_mom_20,0.01096943422748108,1.0,5,False,999,281
smc_premium_discount_M,0.010629123549303272,1.0,5,False,999,282
BOLL_M_pctB,0.010388077814243977,1.0,5,False,999,283
roe_industry_rank,0.01038674253394993,1.0,4,False,999,284
行业idx_dfma_difma_bfq,0.010356689096664628,1.0,5,False,999,285
