特征,分箱范围,WOE,系数,得分
return_7m,"(-10.709, 1.499]",2.1031,1.084,65.8
return_7m,"(-23.5, -10.709]",-8.478,1.084,-265.2
return_7m,"(-63.75, -23.5]",-8.478,1.084,-265.2
return_7m,"(1.499, 23.401]",8.1388,1.084,254.6
return_7m,"(23.401, 236.059]",8.1388,1.084,254.6
macro_ppi_yoy,"(-0.4, 5.5]",-0.4949,0.3575,-5.1
macro_ppi_yoy,"(-2.02, -0.4]",0.871,0.3575,9.0
macro_ppi_yoy,"(-3.4, -2.02]",0.7451,0.3575,7.7
macro_ppi_yoy,"(-5.9510000000000005, -3.4]",-0.162,0.3575,-1.7
macro_ppi_yoy,"(5.5, 13.5]",-0.781,0.3575,-8.1
MACD_M_DEA,"(-0.134, 0.195]",0.6052,-0.3314,-5.8
MACD_M_DEA,"(-2.1519999999999997, -0.134]",0.6809,-0.3314,-6.5
MACD_M_DEA,"(0.195, 0.651]",-0.0777,-0.3314,0.7
MACD_M_DEA,"(0.651, 1.245]",-0.3792,-0.3314,3.6
MACD_M_DEA,"(1.245, 32.254]",-0.7032,-0.3314,6.7
MACD_M_HIST,"(-0.0132, 0.186]",0.4376,0.0511,0.6
MACD_M_HIST,"(-0.337, -0.0132]",0.0871,0.0511,0.1
MACD_M_HIST,"(-10.763, -0.337]",-0.5197,0.0511,-0.8
MACD_M_HIST,"(0.186, 0.634]",0.5081,0.0511,0.7
MACD_M_HIST,"(0.634, 19.35]",-0.4393,0.0511,-0.6
MACD_HIST,"(-0.0154, 0.0403]",0.4609,0.1974,2.6
MACD_HIST,"(-0.0964, -0.0154]",0.3917,0.1974,2.2
MACD_HIST,"(-5.594, -0.0964]",-0.3592,0.1974,-2.0
MACD_HIST,"(0.0403, 0.138]",-0.0164,0.1974,-0.1
MACD_HIST,"(0.138, 1.976]",-0.4193,0.1974,-2.4
行业idx_xsii_td3_bfq,"(2214.855, 3425.407]",0.2361,-0.3445,-2.3
行业idx_xsii_td3_bfq,"(327.817, 2214.855]",0.4609,-0.3445,-4.6
行业idx_xsii_td3_bfq,"(3425.407, 4102.852]",0.0041,-0.3445,-0.0
行业idx_xsii_td3_bfq,"(4102.852, 6119.544]",-0.0574,-0.3445,0.6
行业idx_xsii_td3_bfq,"(6119.544, 90272.099]",-0.6007,-0.3445,6.0
MACD_DIF,"(-0.00504, 0.0888]",0.369,1.0836,11.5
MACD_DIF,"(-0.121, -0.00504]",0.3241,1.0836,10.1
MACD_DIF,"(-7.0360000000000005, -0.121]",-0.2792,1.0836,-8.7
MACD_DIF,"(0.0888, 0.268]",0.1503,1.0836,4.7
MACD_DIF,"(0.268, 10.727]",-0.5197,1.0836,-16.2
macro_m1_yoy,"(-7.401000000000001, 3.7]",0.0585,-0.6376,-1.1
macro_m1_yoy,"(10.24, 15.2]",-0.6095,-0.6376,11.2
macro_m1_yoy,"(15.2, 25.4]",-0.0251,-0.6376,0.5
macro_m1_yoy,"(3.7, 6.1]",0.3697,-0.6376,-6.8
macro_m1_yoy,"(6.1, 10.24]",0.263,-0.6376,-4.8
holder_count_chg,"(-0.0321, 0.0]",0.1381,-0.0942,-0.4
holder_count_chg,"(-0.0852, -0.0321]",0.1716,-0.0942,-0.5
holder_count_chg,"(-0.417, -0.0852]",0.0247,-0.0942,-0.1
holder_count_chg,"(0.0, 0.0756]",0.3371,-0.0942,-0.9
holder_count_chg,"(0.0756, 3.182]",-0.6211,-0.0942,1.7
pledge_count,"(-0.001, 2.0]",0.0623,-0.1537,-0.3
pledge_count,"(15.0, 39.2]",-0.0731,-0.1537,0.3
pledge_count,"(2.0, 15.0]",0.2981,-0.1537,-1.3
pledge_count,"(39.2, 495.0]",-0.5601,-0.1537,2.5
大盘MA10_slope3pct,"(-0.827, 1.47]",0.0785,-0.5294,-1.2
大盘MA10_slope3pct,"(-12.587, -3.622]",0.5223,-0.5294,-8.0
大盘MA10_slope3pct,"(-3.622, -0.827]",-0.0045,-0.5294,0.1
大盘MA10_slope3pct,"(1.47, 4.826]",-0.4413,-0.5294,6.7
大盘MA10_slope3pct,"(4.826, 25.514]",-0.1274,-0.5294,1.9
macro_cpi_yoy,"(-0.801, 1.3]",-0.0379,-0.2101,0.2
macro_cpi_yoy,"(1.3, 1.6]",-0.4062,-0.2101,2.5
macro_cpi_yoy,"(1.6, 2.0]",0.1632,-0.2101,-1.0
macro_cpi_yoy,"(2.0, 2.5]",0.4557,-0.2101,-2.8
macro_cpi_yoy,"(2.5, 6.5]",-0.2024,-0.2101,1.2
营收_T3,"(-0.001, 11.299]",-0.5399,0.2046,-3.2
营收_T3,"(11.299, 21.128]",0.2396,0.2046,1.4
营收_T3,"(21.128, 44.596]",-0.0828,0.2046,-0.5
营收_T3,"(44.596, 1635.406]",0.0871,0.2046,0.5
turnover_skew_250,"(0.563, 1.518]",-0.2191,0.3546,-2.2
turnover_skew_250,"(1.518, 2.024]",-0.2792,0.3546,-2.9
turnover_skew_250,"(2.024, 2.454]",-0.1385,0.3546,-1.4
turnover_skew_250,"(2.454, 3.135]",0.193,0.3546,2.0
turnover_skew_250,"(3.135, 7.795]",0.4844,0.3546,5.0
turnover_mean_20,"(0.1, 0.912]",0.4609,-0.6319,-8.4
turnover_mean_20,"(0.912, 1.431]",0.0041,-0.6319,-0.1
