特征,业务解释,IV,LR系数,贡献度_logit摆幅,分箱边界,各箱WOE,各箱分值_x100,贡献度占比%
vwap_dist,收盘价相对VWAP偏离 (close/vwap-1); 正=收盘高于成交均价,0.1151,1.0595,1.1655,"[3.737, 6.095, 8.419, 8.872, 9.607]","[0.717, 0.238, -0.218, -0.383, -0.3]","[76.0, 25.19, -23.1, -40.55, -31.8]",22.4
MACD_M_DEA,月线MACD信号线(慢线); 趋势中期方向,0.237,0.8833,1.0984,"[-0.235, 0.346, 0.532, 1.412, 38.218]","[0.527, 0.382, -0.02, -0.15, -0.716]","[46.57, 33.75, -1.75, -13.23, -63.28]",21.1
营收_3年斜率,近3年营业收入增长斜率; 高=营收持续成长,0.103,0.7721,0.7527,"[-3.015, -1.68, -0.964, 308.245]","[-0.136, 0.052, -0.801, 0.174]","[-10.52, 3.99, -61.82, 13.45]",14.5
MACD_W_HIST,周线MACD柱; 中期多头动能,0.1677,0.4258,0.5163,"[-0.3, -0.0082, 0.149, 0.486, 19.85]","[-0.099, 0.54, 0.419, -0.157, -0.672]","[-4.2, 22.99, 17.84, -6.67, -28.64]",9.9
三浪_gain,三浪策略一浪(启动浪)涨幅; 大=前段主升浪强,0.0886,0.584,0.3875,"[0.426, 0.496, 0.584, 13.459]","[0.191, 0.003, 0.377, -0.286]","[11.16, 0.17, 22.02, -16.73]",7.4
ret_skew_60,"60日收益偏度; 正=偶有大涨, 负=偶有大跌",0.0337,0.6983,0.3587,"[-0.346, -0.0451, 0.244, 0.67, 3.199]","[0.377, -0.122, 0.014, -0.122, -0.136]","[26.36, -8.55, 1.01, -8.55, -9.51]",6.9
ROC_M_3,月线3期收益率(月度动量); 高=近期月线走强,0.0723,0.4777,0.3528,"[-0.0846, 0.0121, 0.113, 0.266, 3.144]","[0.128, 0.132, 0.09, 0.195, -0.543]","[6.12, 6.31, 4.32, 9.33, -25.95]",6.8
ROC_W_3,周线3期收益率(周度动量),0.0347,0.4634,0.2777,"[-0.0548, -0.0033, 0.0452, 0.112, 0.915]","[0.045, 0.216, 0.042, 0.084, -0.383]","[2.09, 10.03, 1.95, 3.87, -17.74]",5.3
BOLL_BW,布林带宽度 (上轨-下轨)/均值; 大=波动率扩张,0.0226,-0.3071,-0.138,"[0.103, 0.147, 0.197, 0.284, 1.282]","[0.163, 0.153, 0.118, -0.143, -0.286]","[-5.01, -4.7, -3.63, 4.39, 8.8]",2.7
MACD_HIST,"日线MACD柱(12,26,9的 DIF-DEA×2); 正且高=多头动能扩张",0.1036,0.142,0.1178,"[-0.153, -0.0175, 0.0618, 0.231, 10.535]","[-0.345, 0.419, 0.404, -0.04, -0.41]","[-4.89, 5.95, 5.74, -0.57, -5.83]",2.3
k_KLEN,K线振幅 (日内最高-最低)/收盘; 大=波动剧烈,0.0224,0.0772,0.0406,"[0.0246, 0.0345, 0.047, 0.068, 0.232]","[0.212, 0.195, -0.006, -0.081, -0.314]","[1.64, 1.51, -0.05, -0.63, -2.42]",0.8
