feature,空值率%,inf率%,非空率%,importance,iv
FCF_CAGR2,48.7,0.0,51.3,2,0.0016215231704398
行业PE_250d增长,44.5,0.0,55.5,10,0.0446325865701956
行业PB_250d增长,44.5,0.0,55.5,45,0.0355938819569087
行业PB_120d增长,37.0,0.0,63.0,16,0.0199607575414915
行业PE_120d增长,37.0,0.0,63.0,12,0.0127812570903132
行业PE_60d增长,33.9,0.0,66.1,35,0.0150833057499868
行业PB_60d增长,33.9,0.0,66.1,11,0.0284935706012853
NOPAT_CAGR2,29.4,0.0,70.6,4,0.037625281709657
营业利润_CAGR2,29.4,0.0,70.6,1,0.037625281709657
净利润_fcf_CAGR2,28.4,0.0,71.6,15,0.0431624116702422
利息资本化率,19.6,0.0,80.4,26,0.0487903046864461
资产负债率,19.6,0.0,80.4,16,0.0540158816706833
总资产净利率,19.6,0.0,80.4,3,0.0469731593255438
ROA,19.6,0.0,80.4,8,0.0431563148920498
ROE摊薄,19.6,0.0,80.4,2,0.042949383202927
ROE,19.6,0.0,80.4,17,0.042949383202927
总资产周转率,19.6,0.0,80.4,28,0.0417857942747658
流动资产周转率,19.6,0.0,80.4,19,0.0475929425579132
毛利率,19.6,0.0,80.4,27,0.0324845802810929
净利率,19.6,0.0,80.4,20,0.0589881763080648
现金利息负债比,19.6,0.0,80.4,21,0.0518088225234758
现金流动负债比,19.6,0.0,80.4,25,0.0552165763115486
净资产增长,19.6,0.0,80.4,42,0.0688980633465675
ROE增长,19.6,0.0,80.4,12,0.0365126328171608
流动比率,19.6,0.0,80.4,33,0.032013818536344
速动比率,19.6,0.0,80.4,14,0.0594881174881982
存货周转率,19.6,0.0,80.4,13,0.0411397504102036
应收账款周转率,19.6,0.0,80.4,14,0.0277670575520139
产权比率,19.6,0.0,80.4,4,0.0494103044722415
已获利息倍数,19.6,0.0,80.4,13,0.0427241849905963
研发费用率,19.6,0.0,80.4,29,0.0668451326391519
营收增长,19.6,0.0,80.4,14,0.0429793978002729
总营收增长,19.6,0.0,80.4,8,0.0409009337113356
营收增长2,19.6,0.0,80.4,6,0.0434212296109092
利润增长,19.6,0.0,80.4,19,0.0469288969738321
净利增长,19.6,0.0,80.4,17,0.0314261373362783
扣非净利增长,19.6,0.0,80.4,8,0.0314261373362783
溢价率上限,17.7,0.0,82.3,9,0.0071010481032598
邀请日,17.5,0.0,82.5,5,
报价日_md,17.5,0.0,82.5,45,
中位价,17.5,0.0,82.5,20,0.0394956519755593
价格标准差,17.5,0.0,82.5,39,0.0413365330850094
MA30,17.5,0.0,82.5,22,0.0399339846891516
均价_all,17.5,0.0,82.5,8,0.0468254625997905
资本支出_T4,15.2,0.0,84.8,16,0.0160539644680798
FCF_T4,15.2,0.0,84.8,12,0.0077335283137317
折旧_T4,15.2,0.0,84.8,12,0.0087360911076879
净利润_fcf_T4,15.2,0.0,84.8,16,0.0166288776488885
NOPAT_T4,15.2,0.0,84.8,0,0.0310513076174076
营收_T4,15.2,0.0,84.8,5,0.0126201970317185
营业利润_T4,15.2,0.0,84.8,15,0.0310513076174076
FCF年份_T4,15.2,0.0,84.8,0,0.0825247117774311
折旧_T3,15.0,0.0,85.0,9,0.0081822883943921
FCF_T3,14.9,0.0,85.1,48,0.0149560509546095
NOPAT_T3,14.9,0.0,85.1,3,0.0313479781380229
资本支出_T3,14.9,0.0,85.1,24,0.0181523904116793
净利润_fcf_T3,14.9,0.0,85.1,10,0.0237665536732667
营收_T3,14.9,0.0,85.1,6,0.0165689712024626
FCF年份_T3,14.9,0.0,85.1,0,0.0815809365676939
营业利润_T3,14.9,0.0,85.1,7,0.0313479781380229
资本支出_加速,14.7,0.0,85.3,10,0.0046924802991412
资本支出_CAGR2,14.7,0.0,85.3,18,0.0160539644680798
营收_YoY,14.7,0.0,85.3,16,0.0364095202242856
营收_加速,14.7,0.0,85.3,31,0.025542154859256
capex_to_dep,14.6,0.0,85.4,22,0.0134267204057818
资本支出_YoY,14.6,0.0,85.4,34,0.0100706393708249
折旧_T,14.6,0.0,85.4,17,0.0119681830979627
NOPAT_T1,14.5,0.0,85.5,0,0.0143988749660274
FCF_T2,14.5,0.0,85.5,13,0.0186887838219545
FCF年份_T2,14.5,0.0,85.5,1,0.0806575005171228
净利润_fcf_T2,14.5,0.0,85.5,6,0.0177686276251411
FCF年份_T1,14.5,0.0,85.5,0,0.0806575005171228
营收_T2,14.5,0.0,85.5,10,0.0132145040639972
营业利润_T2,14.5,0.0,85.5,7,0.0273211266230311
NOPAT_T2,14.5,0.0,85.5,1,0.0273211266230311
