feature,iv,coverage,n_bins,skip,lgb_importance,iv_rank,lgb_rank,combined_rank
市场波动率_120d,0.18137984978516256,1.0,5,False,113,1,1,1.0
市场波动率比值,0.1488181484325728,1.0,5,False,68,2,2,2.0
个股PB,0.11702804779425291,1.0,5,False,51,3,9,6.0
盈利能力_delta_1y,0.080316758699478,1.0,5,False,57,11,5,8.0
总分_delta_1y,0.06457043635384141,1.0,5,False,54,16,7,11.5
净资产增长,0.06889806334656756,1.0,5,False,50,13,10,11.5
市场距离MA250,0.09668606679420474,1.0,5,False,39,4,26,15.0
PB_vs_同行均值,0.07384424349435878,1.0,5,False,43,12,19,15.5
净利润_x,0.06069764809856331,1.0,5,False,45,19,16,17.5
数据天数,0.09448112034150791,1.0,5,False,32,5,35,20.0
行业胜率_120d,0.05957594393963956,1.0,5,False,41,20,23,21.5
成长能力_T-2,0.06449274187141596,1.0,5,False,31,17,39,28.0
PB_vs_行业,0.06099824734517434,1.0,5,False,31,18,39,28.5
行业波动率_250d,0.043023583272637375,1.0,5,False,43,48,19,33.5
行业年化收益_60d,0.04067827703218104,1.0,5,False,56,63,6,34.5
价格标准差,0.04133653308500941,1.0,5,False,47,59,14,36.5
行业年化收益_20d,0.049156207654853616,1.0,5,False,30,31,43,37.0
市场年化收益_120d,0.055968545126728685,1.0,5,False,26,25,54,39.5
盈利能力_T-1,0.04630013773298071,1.0,5,False,30,40,43,41.5
成长能力_delta_2y,0.0411654279013456,1.0,5,False,34,60,30,45.0
净利率,0.05898817630806488,1.0,5,False,24,22,68,45.0
price_vs_MA20,0.03622500580300913,1.0,5,False,45,78,16,47.0
同行市值_均值,0.033417943119559534,1.0,5,False,48,84,12,48.0
现金利息负债比,0.051808822523475864,1.0,5,False,24,29,68,48.5
price_vs_MA250,0.03518342659394227,1.0,5,False,43,80,19,49.5
行业PB_250d增长,0.0355938819569087,1.0,4,False,42,79,21,50.0
研发费用率,0.06684513263915198,1.0,5,False,19,14,89,51.5
同行PE_中位,0.03019211138169824,1.0,5,False,53,96,8,52.0
price_vs_MA120,0.033812788803451344,1.0,5,False,41,82,23,52.5
速动比率,0.059488117488198246,1.0,5,False,21,21,84,52.5
总资产周转率,0.041785794274765864,1.0,5,False,27,56,50,53.0
利息资本化率,0.04879030468644616,1.0,5,False,23,33,75,54.0
行业波动率_120d,0.04509037932009573,1.0,5,False,24,41,68,54.5
总分_T-1,0.04459579788266002,1.0,5,False,24,43,68,55.5
成长能力_delta_1y,0.05443002037027626,1.0,5,False,20,27,85,56.0
流动资产周转率,0.0475929425579132,1.0,5,False,22,34,80,57.0
资产负债率,0.054015881670683316,1.0,5,False,19,28,89,58.5
成长能力_T-1,0.04175160045418701,1.0,5,False,25,57,60,58.5
同行市值_中位,0.03102582000417636,1.0,5,False,39,95,26,60.5
PB_vs_同行中位,0.06594941669281859,1.0,5,False,16,15,107,61.0
营收_CAGR2,0.056337467589769936,1.0,5,False,17,23,100,61.5
MA250,0.031211604661906145,1.0,5,False,33,92,33,62.5
利润增长,0.04692889697383217,1.0,5,False,19,36,89,62.5
capex_intensity,0.0416119305642311,1.0,5,False,24,58,68,63.0
行业波动率_60d,0.04277968883758492,1.0,5,False,23,53,75,64.0
行业区间收益_60d,0.04058185588391495,1.0,5,False,24,65,68,66.5
营收增长,0.04297939780027292,1.0,5,False,19,49,89,69.0
毛利率,0.03248458028109297,1.0,5,False,26,86,54,70.0
流动比率,0.03201381853634405,1.0,5,False,26,87,54,70.5
均价_all,0.04682546259979056,1.0,5,False,16,37,107,72.0
营收_加速,0.025542154859256018,1.0,5,False,31,110,39,74.5
已获利息倍数,0.04272418499059634,1.0,5,False,18,55,94,74.5
行业区间收益_20d,0.049156207654853616,1.0,5,False,14,32,122,77.0
市场胜率_120d,0.04648273006065536,1.0,5,False,15,39,115,77.0
年化收益_250d,0.021419640687212516,1.0,5,False,37,127,28,77.5
行业PB,0.018196719336553903,1.0,5,False,50,146,10,78.0
现金流动负债比,0.055216576311548686,1.0,5,False,13,26,130,78.0
年化收益_120d,0.029548141683136603,1.0,5,False,25,97,60,78.5
MA20,0.03373307422999285,1.0,5,False,23,83,75,79.0
FCF_加速,0.021704025590617928,1.0,5,False,32,125,35,80.0
个股PS,0.042742686089294955,1.0,5,False,16,54,107,80.5
存货周转率,0.041139750410203645,1.0,5,False,17,61,100,80.5
MA120,0.039652129259955884,1.0,5,False,18,67,94,80.5
ROA,0.04315631489204983,1.0,5,False,15,47,115,81.0
波动率_60d,0.014666603821342992,1.0,5,False,60,166,3,84.5
区间收益_60d,0.025128935226900073,1.0,5,False,25,112,60,86.0
中位价,0.03949565197555933,1.0,5,False,16,70,107,88.5
总分_T-3,0.019641406924398353,1.0,5,False,29,136,45,90.5
ROE,0.04294938320292708,1.0,5,False,13,51,130,90.5
总分_T-4,0.018567690449079507,1.0,5,False,31,144,39,91.5
同行PE_均值,0.019128729022323668,1.0,5,False,30,140,43,91.5
区间收益_20d,0.019982993366049154,1.0,5,False,27,134,50,92.0
行业总天数,0.05598571036681582,1.0,5,False,9,24,161,92.5
FCF_T3,0.014956050954609551,1.0,5,False,41,163,23,93.0
净利润_fcf_CAGR2,0.04316241167024221,1.0,4,False,12,46,140,93.0
波动率_250d,0.011740102297833083,1.0,5,False,48,177,12,94.5
FCF_3年斜率,0.03263509423176466,1.0,5,False,16,85,107,96.0
总分_delta_2y,0.0236260853149565,1.0,5,False,23,119,75,97.0
行业PE_60d增长,0.015083305749986883,1.0,4,False,33,162,33,97.5
MA30,0.039933984689151616,1.0,5,False,13,66,130,98.0
行业年化收益_120d,0.01956055197260472,1.0,5,False,25,137,60,98.5
营收_T1,0.025829474586101686,1.0,5,False,19,109,89,99.0
当前价,0.04433868593720136,1.0,5,False,10,44,155,99.5
盈利能力_斜率,0.026190922818410255,1.0,5,False,18,108,94,101.0
年化收益_60d,0.026743557072731718,1.0,5,False,17,104,100,102.0
年化收益_20d,0.01699348327207101,1.0,5,False,27,155,50,102.5
FCF_T1,0.026570367386383964,1.0,5,False,17,106,100,103.0
营收_YoY,0.036409520224285646,1.0,5,False,13,77,130,103.5
资本支出_T3,0.018152390411679393,1.0,5,False,25,147,60,103.5
资本支出_YoY,0.010070639370824934,1.0,5,False,41,184,23,103.5
vol_ratio_60_250,0.007313099126836517,1.0,5,False,58,203,4,103.5
行业PE_250d增长,0.04463258657019564,1.0,4,False,8,42,166,104.0
行业年化收益_250d,0.017354844750708823,1.0,5,False,26,154,54,104.0
盈利能力_T-4,0.02357195048293261,1.0,5,False,19,120,89,104.5
锁定价当前价,0.04677939402446945,1.0,5,False,7,38,171,104.5
净利增长,0.03142613733627831,1.0,5,False,14,89,122,105.5
vol_ratio_20_60,0.013202213485230506,1.0,5,False,31,172,39,105.5
MA60,0.03891539988381008,1.0,5,False,12,72,140,106.0
FCF年份_T,0.08065750051712281,1.0,4,False,2,10,206,108.0
营收_3年斜率,0.03951151796239066,1.0,5,False,11,69,148,108.5
营收_T,0.009506038733480538,1.0,5,False,34,187,30,108.5
总营收增长,0.04090093371133567,1.0,5,False,10,62,155,108.5
净利润_fcf_YoY,0.027199165452158218,1.0,5,False,15,103,115,109.0
产权比率,0.04941030447224159,1.0,5,False,5,30,188,109.0
PE_vs_同行均值,0.012774517207727473,1.0,5,False,28,174,47,110.5
price_vs_MA60,0.023230382113635664,1.0,5,False,17,122,100,111.0
FCF年份_T2,0.08065750051712281,1.0,4,False,1,8,214,111.0
胜率_250d,0.024124242733484173,1.0,5,False,16,115,107,111.0
营业利润_T4,0.031051307617407632,1.0,5,False,13,93,130,111.5
FCF_T2,0.01868878382195458,1.0,5,False,22,143,80,111.5
ROE增长,0.03651263281716084,1.0,5,False,11,76,148,112.0
资本支出_T4,0.016053964468079822,1.0,5,False,24,160,68,114.0
同行PB_中位,0.02842584733885531,1.0,5,False,13,99,130,114.5
行业PE,0.01771924094293277,1.0,5,False,22,149,80,114.5
capex_to_dep,0.013426720405781887,1.0,5,False,25,170,60,115.0
总分_T,0.003204359774431191,1.0,5,False,47,216,14,115.0
同行PB_均值,0.014952436387343391,1.0,5,False,24,164,68,116.0
FCF_conversion,0.007970409190127358,1.0,5,False,33,200,33,116.5
区间收益_120d,0.025311195291654473,1.0,5,False,14,111,122,116.5
盈利能力_delta_2y,0.03474490315101429,1.0,5,False,10,81,155,118.0
FCF_T,0.023499419489855126,1.0,5,False,15,121,115,118.0
行业PB_60d增长,0.028493570601285392,1.0,4,False,12,98,140,119.0
营收增长2,0.04342122961090924,1.0,5,False,4,45,194,119.5
胜率_20d,0.021957620022633115,1.0,5,False,15,124,115,119.5
同行PS_中位,0.00983686666796415,1.0,5,False,26,186,54,120.0
应收账款周转率,0.027767057552013977,1.0,5,False,12,100,140,120.0
行业波动率_总,0.04277968883758492,1.0,5,False,5,52,188,120.0
总资产净利率,0.04697315932554382,1.0,5,False,2,35,206,120.5
漂移率,0.009127425691109739,1.0,5,False,26,190,54,122.0
行业胜率_60d,0.03958774152695935,1.0,5,False,6,68,179,123.5
盈利能力_T,0.0018353049511056342,1.0,5,False,34,218,30,124.0
总分_T-2,0.01768181206644886,1.0,5,False,17,150,100,125.0
净利润_fcf_T,0.036987730139360964,1.0,5,False,6,75,179,127.0
NOPAT_YoY,0.026388023251696334,1.0,5,False,11,107,148,127.5
FCF_YoY,0.006731619110885822,1.0,5,False,28,208,47,127.5
ROE摊薄,0.04294938320292708,1.0,5,False,2,50,206,128.0
折旧_T,0.011968183097962702,1.0,5,False,22,176,80,128.0
return_acceleration,0.00571228501412455,1.0,5,False,28,210,47,128.5
行业波动率_20d,0.010393711880390758,1.0,5,False,23,183,75,129.0
净利润_fcf_T3,0.023766553673266713,1.0,5,False,12,118,140,129.0
营业利润_T3,0.03134797813802293,1.0,5,False,7,90,171,130.5
个股PE,0.010436041811172426,1.0,5,False,22,182,80,131.0
FCF年份_T4,0.0825247117774311,1.0,4,False,0,6,258,132.0
FCF年份_T3,0.08158093656769394,1.0,4,False,0,7,258,132.5
资本支出_CAGR2,0.016053964468079822,1.0,5,False,16,159,107,133.0
FCF_margin,0.026631810549743777,1.0,5,False,9,105,161,133.0
FCF年份_T1,0.08065750051712281,1.0,4,False,0,9,258,133.5
扣非净利增长,0.03142613733627831,1.0,5,False,6,88,179,133.5
成长能力_T-4,0.017497691257704687,1.0,5,False,15,152,115,133.5
营业利润_T2,0.0273211266230311,1.0,5,False,8,102,166,134.0
波动率_20d,0.021317398074018022,1.0,5,False,12,129,140,134.5
NOPAT_T3,0.03134797813802293,1.0,5,False,6,91,179,135.0
盈利能力_delta_4y,0.010874600111880534,1.0,5,False,19,181,89,135.0
行业漂移率,0.04067827703218104,1.0,5,False,2,64,206,135.0
总分_delta_4y,0.014682486062627646,1.0,5,False,16,165,107,136.0
盈利能力_T-3,0.01137502790116051,1.0,5,False,18,178,94,136.0
NOPAT_3年斜率,0.03913262343175334,1.0,5,False,2,71,206,138.5
NOPAT_CAGR2,0.03762528170965701,1.0,4,False,2,74,206,140.0
区间收益_250d,0.021419640687212516,1.0,5,False,10,126,155,140.5
NOPAT_加速,0.019119450822864908,1.0,5,False,12,141,140,140.5
行业MA250,0.018761292912698267,1.0,5,False,12,142,140,141.0
营业利润_T,0.02379051930663178,1.0,5,False,8,116,166,141.0
行业PB_120d增长,0.01996075754149152,1.0,4,False,11,135,148,141.5
波动率,0.01604543749785156,1.0,5,False,14,161,122,141.5
PE_vs_行业,0.0030202269973112032,1.0,5,False,24,217,68,142.5
PE_vs_同行中位,0.009859696867816365,1.0,5,False,17,185,100,142.5
胜率_120d,0.0036357677883681375,1.0,5,False,22,213,80,146.5
NOPAT_T4,0.031051307617407632,1.0,5,False,3,94,200,147.0
行业级别,0.01918433523656032,1.0,5,False,9,139,161,150.0
营收_T2,0.013214504063997257,1.0,5,False,13,171,130,150.5
行业MA120,0.021173873321717777,1.0,5,False,7,130,171,150.5
NOPAT_margin,0.02311362204319173,1.0,5,False,6,123,179,151.0
行业胜率_20d,0.02132730446187193,1.0,5,False,6,128,179,153.5
总分_斜率,0.024715503783421813,1.0,5,False,4,113,194,153.5
