feature,importance
波动率_250d,133
行业PB,127
行业PE,113
个股PB,108
年化收益_120d,98
个股PE,97
NOPAT_T1,90
一级行业,90
个股PS,89
成长能力_斜率,88
总分_T,86
FCF_T,86
总分_斜率,82
波动率_120d,80
胜率_60d,79
胜率_120d,74
成长能力_T,74
年化收益_60d,72
波动率,70
FCF_T1,69
数据天数,69
NOPAT_T,67
盈利能力_斜率,66
波动率_60d,63
营收_T1,62
营收_T,59
区间收益_60d,59
盈利能力_T,59
胜率_250d,48
漂移率,40
区间收益_120d,31
市场指数_通过,25
step2通过,20
有效阈值数,11
个股PE_通过,9
DCF估值_通过,5
行业PE_通过,5
修正PE估值_通过,5
step1通过,4
蒙特卡洛_通过,3
行业PS,0
step3通过,0
反向推算_通过,0
参数构造_通过,0
净债务,0
流动比率,0
速动比率,0
锁定期,0
存货周转率,0
应收账款周转率,0
ROA,0
总资产周转率,0
ROE摊薄,0
净利率,0
毛利率,0
ROE,0
资产负债率,0
产权比率,0
研发费用率,0
已获利息倍数,0
营收增长,0
净利增长,0
扣非净利增长,0
ROE增长,0
