feature,importance
市场波动率比值,137
市场波动率_120d,129
总分_delta_1y,62
行业波动率_250d,60
波动率_60d,55
price_vs_MA20,53
行业PB_120d增长,53
净资产增长,53
同行PS_中位,53
盈利能力_delta_1y,52
行业年化收益_60d,52
行业胜率_120d,52
现金利息负债比,49
同行市值_均值,48
同行PE_中位,48
price_vs_MA250,46
盈利能力_T,45
MA120,40
波动率_250d,39
个股PB,39
总资产周转率,39
FCF_T2,39
price_vs_MA120,38
研发费用率,38
capex_to_dep,37
同行市值_中位,36
波动率_20d,36
PE_vs_同行均值,36
市场胜率_120d,35
行业年化收益_20d,35
年化收益_250d,34
总分_T-3,34
总分_T-4,34
毛利率,33
FCF_T3,33
市场距离MA250,32
行业年化收益_250d,32
同行PB_均值,32
区间收益_60d,32
行业区间收益_20d,31
capex_intensity,31
总分_delta_2y,31
市场年化收益_120d,31
数据天数,30
FCF_T1,30
净利润,30
FCF_加速,29
年化收益_120d,29
资本支出_T4,29
年化收益_20d,29
现金流动负债比,29
成长能力_delta_1y,29
总营收增长,29
速动比率,28
价格标准差,28
营收_3年斜率,28
成长能力_T-1,27
vol_ratio_60_250,27
行业胜率_60d,27
营收_加速,27
行业MA250,27
盈利能力_T-4,26
个股PE,25
行业波动率_120d,24
营收_T1,24
个股PS,24
PB_vs_同行均值,23
成长能力_delta_2y,23
成长能力_斜率,23
波动率_120d,23
利息资本化率,22
年化收益_60d,21
存货周转率,21
资产负债率,21
同行公司数,20
盈利能力_delta_2y,20
PS_vs_同行均值,20
营收_CAGR2,20
净利率,20
应收账款周转率,20
行业PB,20
行业PE,20
胜率_120d,20
行业PB_250d增长,19
price_vs_MA60,19
流动资产周转率,19
总分_T-1,19
ROE增长,19
净利增长,18
资本支出_加速,18
胜率_250d,18
盈利能力_T-1,18
同行PE_均值,18
NOPAT_margin,18
盈利能力_T-3,18
资本支出_T3,18
营业利润_T4,18
已获利息倍数,17
漂移率,17
同行PS_均值,17
利润增长,17
行业波动率_20d,17
NOPAT_加速,16
总分_T-2,16
FCF_3年斜率,16
return_acceleration,16
盈利能力_delta_4y,16
成长能力_T-4,16
折旧_T2,16
ROA,16
FCF年份_T3,16
行业区间收益_60d,16
资本支出_YoY,15
同行PB_中位,15
净利润_fcf_CAGR2,15
FCF_YoY,15
盈利能力_斜率,15
行业总天数,15
区间收益_20d,15
中位价,15
均价_all,15
MA20,15
总分_T,15
胜率_60d,14
行业年化收益_120d,14
当前价,14
报价日MA20,14
成长能力_T-2,14
营收增长,13
净利润_fcf_T1,13
行业胜率_20d,13
总资产净利率,13
MA60,13
MA250,13
行业胜率_250d,13
MA30,12
总分_delta_4y,12
波动率,12
成长能力_T-3,12
区间收益_120d,12
净利润_fcf_T4,12
溢价率上限,12
vol_ratio_20_60,12
营收_T4,12
NOPAT_3年斜率,12
报价日价格,12
FCF年份_T,12
NOPAT_CAGR2,12
盈利能力_T-2,12
流动比率,12
PE_vs_同行中位,11
PB_vs_行业,11
资本支出_CAGR2,11
营收_YoY,11
产权比率,11
净利润_fcf_加速,10
净利润_fcf_T3,10
总分_斜率,10
行业PB_60d增长,10
折旧_T,10
营业利润_T,10
资本支出_T,10
营业利润_T2,10
同行PE_标准差,10
FCF_T4,9
FCF_margin,9
ROE,9
扣非净利增长,9
区间收益_250d,9
行业波动率_60d,9
营业利润_T1,9
营收_T,9
成长能力_T,9
成长能力_delta_4y,8
PB_vs_同行中位,8
行业级别,8
FCF_conversion,7
行业漂移率,7
净利润_fcf_YoY,7
资本支出_T1,7
行业区间收益_120d,7
NOPAT_YoY,7
行业MA120,7
折旧_T4,6
净利润_fcf_T2,6
净利润_fcf_T,6
PE_vs_行业,6
营业利润_T3,6
FCF_T,5
行业区间收益_250d,5
NOPAT_T4,5
胜率_20d,5
营收_T3,5
行业PE_60d增长,5
FCF_CAGR2,4
折旧_T1,4
营业利润_加速,3
营收增长2,3
行业PE_250d增长,3
折旧_T3,3
行业MA20,3
营收_T2,3
有效阈值数,2
NOPAT_T2,2
资本支出_T2,2
营业利润_YoY,2
ROE摊薄,2
FCF年份_T4,2
营业利润_CAGR2,1
市场_above_MA250,1
行业PE_120d增长,1
蒙特卡洛_通过,1
NOPAT_T3,1
修正PE估值_通过,1
行业MA60,1
行业波动率_总,1
个股PE_通过,1
step1通过,1
NOPAT_T1,1
营运资金变动_T,0
营运资金变动_T1,0
step2通过,0
step3通过,0
综合趋势,0
成长能力_趋势,0
盈利能力_趋势,0
评级_T,0
FCF年份_T1,0
sw_l1_code,0
sw_l1_name,0
sw_l2_code,0
溢价率下限,0
sw_l3_code,0
sw_l3_name,0
总分_趋势,0
NOPAT_T,0
sw_l2_name,0
评级_T-1,0
货币资金,0
Beta,0
子场景通过数,0
定增建议参与,0
参数构造_通过,0
DCF估值_通过,0
行业PE_通过,0
市场指数_通过,0
行业PS,0
锁定价当前价,0
融资金额,0
评级_T-4,0
评级_T-3,0
锁定期,0
评级_T-2,0
溢价率,0
