特征,系数(标准化后),影响,影响强度
漂移率,0.47947892069494735,↑正相关（高分→盈利）,★★★
NOPAT_T,0.41313870641386774,↑正相关（高分→盈利）,★★★
step1通过,0.4077825698510813,↑正相关（高分→盈利）,★★★
总分_斜率,0.3804620242529496,↑正相关（高分→盈利）,★★★
波动率,0.3775594317004142,↑正相关（高分→盈利）,★★★
修正PE估值_通过,0.35873800412172685,↑正相关（高分→盈利）,★★★
step2通过,0.3366626523657178,↑正相关（高分→盈利）,★★★
盈利能力_T,0.3048485433843944,↑正相关（高分→盈利）,★★★
波动率_120d,0.2955841488771176,↑正相关（高分→盈利）,★★
年化收益_60d,0.26090813725119233,↑正相关（高分→盈利）,★★
市场指数_通过,0.2429257822504004,↑正相关（高分→盈利）,★★
成长能力_T,0.20299769443989213,↑正相关（高分→盈利）,★★
胜率_250d,0.15618552401392757,↑正相关（高分→盈利）,★★
研发费用率,0.08356167415057547,↑正相关（高分→盈利）,★
行业PE,0.08163455504989081,↑正相关（高分→盈利）,★
FCF_T1,0.07341146414534225,↑正相关（高分→盈利）,★
扣非净利增长,0.07107599583780454,↑正相关（高分→盈利）,★
净利增长,0.06435028947653121,↑正相关（高分→盈利）,★
已获利息倍数,0.062437837198024045,↑正相关（高分→盈利）,★
净利率,0.06130004898589647,↑正相关（高分→盈利）,★
营收_T1,0.0511686634016853,↑正相关（高分→盈利）,★
毛利率,0.04654098269096528,↑正相关（高分→盈利）,★
胜率_60d,0.03755102268694262,↑正相关（高分→盈利）,★
ROE增长,0.03448794953198558,↑正相关（高分→盈利）,★
ROA,0.03272640450725149,↑正相关（高分→盈利）,★
应收账款周转率,0.029316705859286325,↑正相关（高分→盈利）,★
个股PS,0.02867286088071827,↑正相关（高分→盈利）,★
流动比率,0.028063521330247258,↑正相关（高分→盈利）,★
产权比率,0.013619808800862448,↑正相关（高分→盈利）,★
ROE摊薄,0.012586455175199327,↑正相关（高分→盈利）,★
胜率_120d,0.00929959641941601,↑正相关（高分→盈利）,★
营收增长,0.008583374942865792,↑正相关（高分→盈利）,★
ROE,0.004100151678248165,↑正相关（高分→盈利）,★
锁定期,0.0,↓负相关（高分→亏损）,★
净债务,0.0,↓负相关（高分→亏损）,★
行业PS,0.0,↓负相关（高分→亏损）,★
总资产周转率,-0.00062571083951169,↓负相关（高分→亏损）,★
资产负债率,-0.0010518523426012918,↓负相关（高分→亏损）,★
DCF估值_通过,-0.0023364425622213626,↓负相关（高分→亏损）,★
参数构造_通过,-0.0044185871459339054,↓负相关（高分→亏损）,★
行业PE_通过,-0.008737147506858374,↓负相关（高分→亏损）,★
存货周转率,-0.009771195201540952,↓负相关（高分→亏损）,★
速动比率,-0.021063192881757883,↓负相关（高分→亏损）,★
行业PB,-0.034691590334722425,↓负相关（高分→亏损）,★
区间收益_120d,-0.036799242688340845,↓负相关（高分→亏损）,★
个股PE_通过,-0.051633919880825954,↓负相关（高分→亏损）,★
年化收益_120d,-0.07152312214330898,↓负相关（高分→亏损）,★
个股PE,-0.07795270624435317,↓负相关（高分→亏损）,★
个股PB,-0.0958716387271014,↓负相关（高分→亏损）,★
数据天数,-0.11438566091003069,↓负相关（高分→亏损）,★
蒙特卡洛_通过,-0.11732458930245293,↓负相关（高分→亏损）,★
FCF_T,-0.1213391144465692,↓负相关（高分→亏损）,★
step3通过,-0.1250478954563286,↓负相关（高分→亏损）,★
反向推算_通过,-0.12654260940390558,↓负相关（高分→亏损）,★
NOPAT_T1,-0.18108898357063102,↓负相关（高分→亏损）,★★
成长能力_斜率,-0.21773934911688578,↓负相关（高分→亏损）,★★
波动率_250d,-0.2921351461666843,↓负相关（高分→亏损）,★★
总分_T,-0.3127170465469851,↓负相关（高分→亏损）,★★★
盈利能力_斜率,-0.3177075708112226,↓负相关（高分→亏损）,★★★
营收_T,-0.3447491584503512,↓负相关（高分→亏损）,★★★
波动率_60d,-0.5009124301655199,↓负相关（高分→亏损）,★★★
有效阈值数,-0.6195536836099941,↓负相关（高分→亏损）,★★★
区间收益_60d,-0.7294193627595922,↓负相关（高分→亏损）,★★★
