特征,系数(标准化后),影响,影响强度
折旧_T2,1.0860176780864796,↑正相关（高分→盈利）,★★★
盈利能力_delta_4y,0.9162211070442748,↑正相关（高分→盈利）,★★★
净利润_fcf_T3,0.6808296199048929,↑正相关（高分→盈利）,★★★
市场波动率_120d,0.6758818567159631,↑正相关（高分→盈利）,★★★
同行PE_中位,0.640220306949951,↑正相关（高分→盈利）,★★★
MA30,0.6385365318192544,↑正相关（高分→盈利）,★★★
营收_YoY,0.590265064851462,↑正相关（高分→盈利）,★★★
PB_vs_同行中位,0.5880583751610924,↑正相关（高分→盈利）,★★★
锁定价当前价,0.5777932270759956,↑正相关（高分→盈利）,★★★
总分_T-4,0.5653424436009005,↑正相关（高分→盈利）,★★★
资本支出_CAGR2,0.5583732964145677,↑正相关（高分→盈利）,★★★
营收_加速,0.5357999983921456,↑正相关（高分→盈利）,★★★
盈利能力_T-2,0.5233904812307064,↑正相关（高分→盈利）,★★★
报价日,0.5185405802020794,↑正相关（高分→盈利）,★★★
当前价,0.4874741908435387,↑正相关（高分→盈利）,★★★
营收_T1,0.4854769118883417,↑正相关（高分→盈利）,★★★
FCF_YoY,0.468456298414195,↑正相关（高分→盈利）,★★★
大盘MA10_slope3%,0.46513332844232314,↑正相关（高分→盈利）,★★★
成长能力_T,0.4610009882009885,↑正相关（高分→盈利）,★★★
总分_delta_2y,0.4576163839366677,↑正相关（高分→盈利）,★★★
盈利能力_T-4,0.42083437253272227,↑正相关（高分→盈利）,★★★
营收增长2,0.4181691296363517,↑正相关（高分→盈利）,★★★
营收_T2,0.41710612875058656,↑正相关（高分→盈利）,★★★
总分_斜率,0.40246094066899746,↑正相关（高分→盈利）,★★★
行业胜率_120d,0.39166163287324474,↑正相关（高分→盈利）,★★★
区间收益_120d,0.37975968908307867,↑正相关（高分→盈利）,★★★
折旧_T,0.3659475695884732,↑正相关（高分→盈利）,★★★
PB_vs_同行均值,0.3648635913962946,↑正相关（高分→盈利）,★★★
MA250,0.35692521956361134,↑正相关（高分→盈利）,★★★
营收_T,0.3485484272124741,↑正相关（高分→盈利）,★★★
同行市值_均值,0.3071783411374347,↑正相关（高分→盈利）,★★★
FCF年份_T4,0.30036396044149427,↑正相关（高分→盈利）,★★★
price_vs_MA60,0.28732184859831505,↑正相关（高分→盈利）,★★
价格标准差,0.2857070818395119,↑正相关（高分→盈利）,★★
营业利润_T1,0.28446698400599557,↑正相关（高分→盈利）,★★
NOPAT_T1,0.2814420288466,↑正相关（高分→盈利）,★★
速动比率,0.26279305548029597,↑正相关（高分→盈利）,★★
行业PE_120d增长,0.2430642264039269,↑正相关（高分→盈利）,★★
总分_T-3,0.23980942385609283,↑正相关（高分→盈利）,★★
营收_3年斜率,0.23127448235513925,↑正相关（高分→盈利）,★★
ROA,0.22565784766284006,↑正相关（高分→盈利）,★★
资本支出_T4,0.22377027967891047,↑正相关（高分→盈利）,★★
行业MA250,0.22363666119037076,↑正相关（高分→盈利）,★★
return_acceleration,0.21710717499714946,↑正相关（高分→盈利）,★★
成长能力_T-2,0.21515750055123734,↑正相关（高分→盈利）,★★
净利润_fcf_加速,0.20467955715362643,↑正相关（高分→盈利）,★★
PE_vs_同行均值,0.2040247788824662,↑正相关（高分→盈利）,★★
波动率,0.2036435211969841,↑正相关（高分→盈利）,★★
vol_ratio_60_250,0.20185674657708005,↑正相关（高分→盈利）,★★
NOPAT_T4,0.19855651629420432,↑正相关（高分→盈利）,★★
营业利润_T4,0.19855651629420432,↑正相关（高分→盈利）,★★
年化收益_20d,0.19403933725788602,↑正相关（高分→盈利）,★★
三浪_retr,0.1923959824720622,↑正相关（高分→盈利）,★★
胜率_250d,0.19052308535662502,↑正相关（高分→盈利）,★★
