月份,样本数,top10%_7m%,top10%_年化%,bottom10%_7m%,bottom10%_年化%,差距_7m%,差距_年化%
1月,16,12.93,23.17,6.04,10.57,6.89,12.6
2月,16,8.8,15.55,0.68,1.16,8.12,14.39
3月,16,10.73,19.09,0.42,0.72,10.31,18.37
4月,16,11.27,20.1,6.02,10.55,5.25,9.55
5月,16,9.18,16.25,0.57,0.99,8.61,15.26
6月,16,7.49,13.17,-0.74,-1.27,8.23,14.44
7月,16,12.74,22.81,4.4,7.67,8.33,15.14
8月,16,22.33,41.28,3.05,5.29,19.28,35.99
9月,16,9.37,16.59,4.12,7.16,5.25,9.43
10月,16,12.61,22.58,4.22,7.34,8.39,15.24
11月,16,13.42,24.09,1.57,2.71,11.84,21.38
12月,16,6.96,12.23,2.02,3.49,4.94,8.75
