月份,样本数,top10%_7m%,top10%_年化%,bottom10%_7m%,bottom10%_年化%,市场平均_7m%,市场平均_年化%,市场中位_7m%,市场中位_年化%,top_vs平均_7m%,top_vs平均_年化%,bottom_vs平均_7m%,bottom_vs平均_年化%
1月,16,12.93,23.17,6.04,10.57,9.48,16.8,9.48,16.8,3.44,6.37,-3.44,-6.23
2月,16,8.8,15.55,0.68,1.16,4.74,8.26,4.74,8.26,4.06,7.29,-4.06,-7.09
3月,16,10.73,19.09,0.42,0.72,5.58,9.75,5.58,9.75,5.15,9.34,-5.15,-9.02
4月,16,11.27,20.1,6.02,10.55,8.65,15.28,8.65,15.28,2.63,4.82,-2.63,-4.73
5月,16,9.18,16.25,0.57,0.99,4.88,8.5,4.88,8.5,4.3,7.74,-4.3,-7.52
6月,16,7.49,13.17,-0.74,-1.27,3.37,5.85,3.37,5.85,4.11,7.32,-4.11,-7.12
7月,16,12.74,22.81,4.4,7.67,8.57,15.14,8.57,15.14,4.17,7.68,-4.17,-7.47
8月,16,22.33,41.28,3.05,5.29,12.69,22.74,12.69,22.74,9.64,18.54,-9.64,-17.44
9月,16,9.37,16.59,4.12,7.16,6.74,11.83,6.74,11.83,2.63,4.76,-2.63,-4.67
10月,16,12.61,22.58,4.22,7.34,8.41,14.85,8.41,14.85,4.2,7.72,-4.2,-7.51
11月,16,13.42,24.09,1.57,2.71,7.49,13.19,7.49,13.19,5.92,10.9,-5.92,-10.48
12月,16,6.96,12.23,2.02,3.49,4.49,7.82,4.49,7.82,2.47,4.41,-2.47,-4.34
