特征,分箱范围,WOE值,现有得分,100分制得分,系数
个股PB,"(0.33, 2.574]",0.1348,1.6,2.62,0.4111
个股PB,"(2.574, 3.389]",0.0731,0.9,1.48,0.4111
个股PB,"(3.389, 4.311]",-0.2343,-2.8,-4.59,0.4111
个股PB,"(4.311, 305.969]",-0.2359,-2.8,-4.59,0.4111
总分_斜率,"(-1.17, 5.78]",-0.345,-3.5,-5.74,0.3508
总分_斜率,"(-6.891, -1.17]",0.0507,0.5,0.82,0.3508
净资产增长,"(-450.05199999999996, 6.794]",0.043,0.5,0.82,0.4171
净资产增长,"(6.794, 2458.662]",-0.3832,-4.6,-7.54,0.4171
年化收益_250d,"(-0.685, 0.0205]",-0.0568,-0.6,-0.98,0.3465
年化收益_250d,"(0.0205, 0.156]",0.076,0.8,1.31,0.3465
年化收益_250d,"(0.156, 0.31]",0.2053,2.1,3.44,0.3465
年化收益_250d,"(0.31, 11.081]",-0.2062,-2.1,-3.44,0.3465
ROA,"(-61.605, 4.944]",0.0408,0.3,0.49,0.232
ROA,"(4.944, 87.64]",-0.3646,-2.4,-3.93,0.232
区间收益_120d,"(-0.622, 0.00508]",-0.0115,-0.0,-0.0,0.0993
区间收益_120d,"(0.00508, 0.095]",0.0809,0.2,0.33,0.0993
区间收益_120d,"(0.095, 0.204]",0.0758,0.2,0.33,0.0993
区间收益_120d,"(0.204, 5.35]",-0.2247,-0.6,-0.98,0.0993
营收增长2,"(-100.001, 14.818]",0.0396,-0.0,-0.0,-0.0198
营收增长2,"(14.818, 40852.809]",-0.3532,0.2,0.33,-0.0198
smc_premium_discount_M,"(-0.001, 0.245]",0.1614,3.3,5.41,0.7192
smc_premium_discount_M,"(0.245, 0.428]",0.0363,0.8,1.31,0.7192
smc_premium_discount_M,"(0.428, 0.532]",-0.0643,-1.3,-2.13,0.7192
smc_premium_discount_M,"(0.532, 0.744]",-0.1819,-3.8,-6.23,0.7192
smc_premium_discount_M,"(0.744, 1.0]",0.0532,1.1,1.8,0.7192
流动资产周转率,"(-0.001, 0.906]",0.0379,0.5,0.82,0.4516
流动资产周转率,"(0.906, 8.924]",-0.3382,-4.4,-7.21,0.4516
净利润_fcf_T1,"(-144.095, 0.845]",-0.2044,-2.4,-3.93,0.4067
净利润_fcf_T1,"(0.845, 1.181]",0.0627,0.7,1.15,0.4067
净利润_fcf_T1,"(1.181, 1.543]",-0.166,-1.9,-3.11,0.4067
净利润_fcf_T1,"(1.543, 641.99]",0.0647,0.8,1.31,0.4067
smc_fvg_net_W,"(-1.0, 0.0]",-0.0334,-0.8,-1.31,0.7863
smc_fvg_net_W,"(-7.001, -1.0]",0.1227,2.8,4.59,0.7863
smc_fvg_net_W,"(0.0, 1.0]",-0.0068,-0.2,-0.33,0.7863
smc_fvg_net_W,"(1.0, 2.0]",-0.0116,-0.3,-0.49,0.7863
smc_fvg_net_W,"(2.0, 8.0]",-0.259,-5.9,-9.67,0.7863
ROE,"(-475.871, 7.437]",0.037,-0.0,-0.0,-0.0356
ROE,"(7.437, 1292.342]",-0.3307,0.3,0.49,-0.0356
sue_zscore,"(-0.054, 0.148]",-0.1151,-3.5,-5.74,1.0636
sue_zscore,"(-0.236, -0.054]",-0.0245,-0.8,-1.31,1.0636
sue_zscore,"(-25298258.205, -0.236]",0.2046,6.3,10.33,1.0636
sue_zscore,"(0.148, 0.49]",-0.0033,-0.1,-0.16,1.0636
sue_zscore,"(0.49, 1446047487.367]",-0.0568,-1.7,-2.79,1.0636
mf_net_mf_ratio_20d,"(-0.000494, 0.226]",-0.1504,-3.1,-5.08,0.7199
mf_net_mf_ratio_20d,"(-0.0159, -0.000494]",0.1171,2.4,3.93,0.7199
mf_net_mf_ratio_20d,"(-0.0258, -0.0159]",-0.1055,-2.2,-3.61,0.7199
mf_net_mf_ratio_20d,"(-0.0428, -0.0258]",0.0785,1.6,2.62,0.7199
mf_net_mf_ratio_20d,"(-0.432, -0.0428]",0.0647,1.3,2.13,0.7199
漂移率,"(-2.487, 0.0527]",-0.0756,0.2,0.33,-0.0802
漂移率,"(0.0527, 0.201]",0.0721,-0.2,-0.33,-0.0802
漂移率,"(0.201, 0.363]",0.1587,-0.4,-0.66,-0.0802
漂移率,"(0.363, 9.03]",-0.169,0.4,0.66,-0.0802
资本支出_T,"(0.00222, 1.62]",-0.2025,-1.3,-2.13,0.2289
资本支出_T,"(1.62, 2.201]",0.0726,0.5,0.82,0.2289
资本支出_T,"(2.201, 3.013]",0.0124,0.1,0.16,0.2289
资本支出_T,"(3.013, 442.153]",-0.0001,-0.0,-0.0,0.2289
sue_up_trend,"(-0.001, 0.5]",0.0455,1.1,1.8,0.8028
sue_up_trend,"(0.5, 1.0]",-0.2356,-5.5,-9.02,0.8028
mf_main_net_ratio_5d,"(-0.00764, 0.00584]",-0.0017,-0.0,-0.0,0.8313
mf_main_net_ratio_5d,"(-0.0169, -0.00764]",-0.1578,-3.8,-6.23,0.8313
mf_main_net_ratio_5d,"(-0.0322, -0.0169]",0.0823,2.0,3.28,0.8313
mf_main_net_ratio_5d,"(-0.175, -0.0322]",0.1341,3.2,5.25,0.8313
mf_main_net_ratio_5d,"(0.00584, 0.339]",-0.053,-1.3,-2.13,0.8313
