特征,分箱范围,WOE值,100分制得分,逻辑回归系数,评分卡系数
个股PB,"(0.33, 2.574]",0.1348,1.6,0.4111,11.861838626189058
个股PB,"(2.574, 3.389]",0.0731,0.87,0.4111,11.861838626189058
个股PB,"(3.389, 4.311]",-0.2343,-2.78,0.4111,11.861838626189058
个股PB,"(4.311, 305.969]",-0.2359,-2.8,0.4111,11.861838626189058
总分_斜率,"(-1.17, 5.78]",-0.345,-3.49,0.3508,10.121948406876967
总分_斜率,"(-6.891, -1.17]",0.0507,0.51,0.3508,10.121948406876967
净资产增长,"(-450.05199999999996, 6.794]",0.043,0.52,0.4171,12.034962031095734
净资产增长,"(6.794, 2458.662]",-0.3832,-4.61,0.4171,12.034962031095734
年化收益_250d,"(-0.685, 0.0205]",-0.0568,-0.57,0.3465,9.997876633360516
年化收益_250d,"(0.0205, 0.156]",0.076,0.76,0.3465,9.997876633360516
年化收益_250d,"(0.156, 0.31]",0.2053,2.05,0.3465,9.997876633360516
年化收益_250d,"(0.31, 11.081]",-0.2062,-2.06,0.3465,9.997876633360516
ROA,"(-61.605, 4.944]",0.0408,0.27,0.232,6.694104989724791
ROA,"(4.944, 87.64]",-0.3646,-2.44,0.232,6.694104989724791
区间收益_120d,"(-0.622, 0.00508]",-0.0115,-0.03,0.0993,2.8651923512054815
区间收益_120d,"(0.00508, 0.095]",0.0809,0.23,0.0993,2.8651923512054815
区间收益_120d,"(0.095, 0.204]",0.0758,0.22,0.0993,2.8651923512054815
区间收益_120d,"(0.204, 5.35]",-0.2247,-0.64,0.0993,2.8651923512054815
营收增长2,"(-100.001, 14.818]",0.0396,-0.02,-0.0198,-0.5713072361920296
营收增长2,"(14.818, 40852.809]",-0.3532,0.2,-0.0198,-0.5713072361920296
smc_premium_discount_M,"(-0.001, 0.245]",0.1614,3.35,0.7192,20.751725468146848
smc_premium_discount_M,"(0.245, 0.428]",0.0363,0.75,0.7192,20.751725468146848
smc_premium_discount_M,"(0.428, 0.532]",-0.0643,-1.33,0.7192,20.751725468146848
smc_premium_discount_M,"(0.532, 0.744]",-0.1819,-3.77,0.7192,20.751725468146848
smc_premium_discount_M,"(0.744, 1.0]",0.0532,1.1,0.7192,20.751725468146848
流动资产周转率,"(-0.001, 0.906]",0.0379,0.49,0.4516,13.030421609309117
流动资产周转率,"(0.906, 8.924]",-0.3382,-4.41,0.4516,13.030421609309117
净利润_fcf_T1,"(-144.095, 0.845]",-0.2044,-2.4,0.4067,11.73488146259083
净利润_fcf_T1,"(0.845, 1.181]",0.0627,0.74,0.4067,11.73488146259083
净利润_fcf_T1,"(1.181, 1.543]",-0.166,-1.95,0.4067,11.73488146259083
净利润_fcf_T1,"(1.543, 641.99]",0.0647,0.76,0.4067,11.73488146259083
smc_fvg_net_W,"(-1.0, 0.0]",-0.0334,-0.76,0.7863,22.68782221301984
smc_fvg_net_W,"(-7.001, -1.0]",0.1227,2.78,0.7863,22.68782221301984
smc_fvg_net_W,"(0.0, 1.0]",-0.0068,-0.15,0.7863,22.68782221301984
smc_fvg_net_W,"(1.0, 2.0]",-0.0116,-0.26,0.7863,22.68782221301984
smc_fvg_net_W,"(2.0, 8.0]",-0.259,-5.88,0.7863,22.68782221301984
ROE,"(-475.871, 7.437]",0.037,-0.04,-0.0356,-1.027198869112942
ROE,"(7.437, 1292.342]",-0.3307,0.34,-0.0356,-1.027198869112942
sue_zscore,"(-0.054, 0.148]",-0.1151,-3.53,1.0636,30.689008909790033
sue_zscore,"(-0.236, -0.054]",-0.0245,-0.75,1.0636,30.689008909790033
sue_zscore,"(-25298258.205, -0.236]",0.2046,6.28,1.0636,30.689008909790033
sue_zscore,"(0.148, 0.49]",-0.0033,-0.1,1.0636,30.689008909790033
sue_zscore,"(0.49, 1446047487.367]",-0.0568,-1.74,1.0636,30.689008909790033
mf_net_mf_ratio_20d,"(-0.000494, 0.226]",-0.1504,-3.12,0.7199,20.771923198719296
mf_net_mf_ratio_20d,"(-0.0159, -0.000494]",0.1171,2.43,0.7199,20.771923198719296
mf_net_mf_ratio_20d,"(-0.0258, -0.0159]",-0.1055,-2.19,0.7199,20.771923198719296
mf_net_mf_ratio_20d,"(-0.0428, -0.0258]",0.0785,1.63,0.7199,20.771923198719296
mf_net_mf_ratio_20d,"(-0.432, -0.0428]",0.0647,1.34,0.7199,20.771923198719296
漂移率,"(-2.487, 0.0527]",-0.0756,0.17,-0.0802,-2.3140828455858973
漂移率,"(0.0527, 0.201]",0.0721,-0.17,-0.0802,-2.3140828455858973
漂移率,"(0.201, 0.363]",0.1587,-0.37,-0.0802,-2.3140828455858973
漂移率,"(0.363, 9.03]",-0.169,0.39,-0.0802,-2.3140828455858973
资本支出_T,"(0.00222, 1.62]",-0.2025,-1.34,0.2289,6.604657897189675
资本支出_T,"(1.62, 2.201]",0.0726,0.48,0.2289,6.604657897189675
资本支出_T,"(2.201, 3.013]",0.0124,0.08,0.2289,6.604657897189675
资本支出_T,"(3.013, 442.153]",-0.0001,-0.0,0.2289,6.604657897189675
sue_up_trend,"(-0.001, 0.5]",0.0455,1.05,0.8028,23.163911576513197
sue_up_trend,"(0.5, 1.0]",-0.2356,-5.46,0.8028,23.163911576513197
mf_main_net_ratio_5d,"(-0.00764, 0.00584]",-0.0017,-0.04,0.8313,23.986247749819906
mf_main_net_ratio_5d,"(-0.0169, -0.00764]",-0.1578,-3.79,0.8313,23.986247749819906
mf_main_net_ratio_5d,"(-0.0322, -0.0169]",0.0823,1.97,0.8313,23.986247749819906
mf_main_net_ratio_5d,"(-0.175, -0.0322]",0.1341,3.22,0.8313,23.986247749819906
mf_main_net_ratio_5d,"(0.00584, 0.339]",-0.053,-1.27,0.8313,23.986247749819906
