档位,样本数,平均IC,top10%_7m%,top10%_年化%,bottom10%_7m%,bottom10%_年化%,差距_7m%,差距_年化%
1,20,-0.0223,12.37,22.13,16.89,30.68,-4.52,-7.63
2,19,0.0305,15.06,27.19,13.97,25.13,1.09,1.88
3,19,0.0537,27.81,52.29,14.0,25.18,13.81,24.83
4,19,0.0693,8.67,15.32,0.96,1.65,7.71,13.59
5,19,0.0806,3.38,5.86,-2.61,-4.43,5.99,10.49
6,19,0.0952,17.9,32.61,7.87,13.86,10.03,17.81
7,19,0.1133,13.19,23.67,3.47,6.02,9.73,17.25
8,19,0.1267,0.51,0.87,-8.44,-14.02,8.94,15.82
9,19,0.1544,9.7,17.2,-8.19,-13.63,17.89,32.6
10,20,0.2176,6.47,11.35,-10.97,-18.06,17.44,31.73
