特征,分箱范围,WOE,系数,得分
个股PB,"(0.33, 2.574]",0.1348,0.4111,1.6
个股PB,"(2.574, 3.389]",0.0731,0.4111,0.9
个股PB,"(3.389, 4.311]",-0.2343,0.4111,-2.8
个股PB,"(4.311, 305.969]",-0.2359,0.4111,-2.8
总分_斜率,"(-1.17, 5.78]",-0.345,0.3508,-3.5
总分_斜率,"(-6.891, -1.17]",0.0507,0.3508,0.5
净资产增长,"(-450.05199999999996, 6.794]",0.043,0.4171,0.5
净资产增长,"(6.794, 2458.662]",-0.3832,0.4171,-4.6
年化收益_250d,"(-0.685, 0.0205]",-0.0568,0.3465,-0.6
年化收益_250d,"(0.0205, 0.156]",0.076,0.3465,0.8
年化收益_250d,"(0.156, 0.31]",0.2053,0.3465,2.1
年化收益_250d,"(0.31, 11.081]",-0.2062,0.3465,-2.1
ROA,"(-61.605, 4.944]",0.0408,0.232,0.3
ROA,"(4.944, 87.64]",-0.3646,0.232,-2.4
区间收益_120d,"(-0.622, 0.00508]",-0.0115,0.0993,-0.0
区间收益_120d,"(0.00508, 0.095]",0.0809,0.0993,0.2
区间收益_120d,"(0.095, 0.204]",0.0758,0.0993,0.2
区间收益_120d,"(0.204, 5.35]",-0.2247,0.0993,-0.6
营收增长2,"(-100.001, 14.818]",0.0396,-0.0198,-0.0
营收增长2,"(14.818, 40852.809]",-0.3532,-0.0198,0.2
smc_premium_discount_M,"(-0.001, 0.245]",0.1614,0.7192,3.3
smc_premium_discount_M,"(0.245, 0.428]",0.0363,0.7192,0.8
smc_premium_discount_M,"(0.428, 0.532]",-0.0643,0.7192,-1.3
smc_premium_discount_M,"(0.532, 0.744]",-0.1819,0.7192,-3.8
smc_premium_discount_M,"(0.744, 1.0]",0.0532,0.7192,1.1
流动资产周转率,"(-0.001, 0.906]",0.0379,0.4516,0.5
流动资产周转率,"(0.906, 8.924]",-0.3382,0.4516,-4.4
净利润_fcf_T1,"(-144.095, 0.845]",-0.2044,0.4067,-2.4
净利润_fcf_T1,"(0.845, 1.181]",0.0627,0.4067,0.7
净利润_fcf_T1,"(1.181, 1.543]",-0.166,0.4067,-1.9
净利润_fcf_T1,"(1.543, 641.99]",0.0647,0.4067,0.8
smc_fvg_net_W,"(-1.0, 0.0]",-0.0334,0.7863,-0.8
smc_fvg_net_W,"(-7.001, -1.0]",0.1227,0.7863,2.8
smc_fvg_net_W,"(0.0, 1.0]",-0.0068,0.7863,-0.2
smc_fvg_net_W,"(1.0, 2.0]",-0.0116,0.7863,-0.3
smc_fvg_net_W,"(2.0, 8.0]",-0.259,0.7863,-5.9
ROE,"(-475.871, 7.437]",0.037,-0.0356,-0.0
ROE,"(7.437, 1292.342]",-0.3307,-0.0356,0.3
sue_zscore,"(-0.054, 0.148]",-0.1151,1.0636,-3.5
sue_zscore,"(-0.236, -0.054]",-0.0245,1.0636,-0.8
sue_zscore,"(-25298258.205, -0.236]",0.2046,1.0636,6.3
sue_zscore,"(0.148, 0.49]",-0.0033,1.0636,-0.1
sue_zscore,"(0.49, 1446047487.367]",-0.0568,1.0636,-1.7
mf_net_mf_ratio_20d,"(-0.000494, 0.226]",-0.1504,0.7199,-3.1
mf_net_mf_ratio_20d,"(-0.0159, -0.000494]",0.1171,0.7199,2.4
mf_net_mf_ratio_20d,"(-0.0258, -0.0159]",-0.1055,0.7199,-2.2
mf_net_mf_ratio_20d,"(-0.0428, -0.0258]",0.0785,0.7199,1.6
mf_net_mf_ratio_20d,"(-0.432, -0.0428]",0.0647,0.7199,1.3
漂移率,"(-2.487, 0.0527]",-0.0756,-0.0802,0.2
漂移率,"(0.0527, 0.201]",0.0721,-0.0802,-0.2
漂移率,"(0.201, 0.363]",0.1587,-0.0802,-0.4
漂移率,"(0.363, 9.03]",-0.169,-0.0802,0.4
资本支出_T,"(0.00222, 1.62]",-0.2025,0.2289,-1.3
资本支出_T,"(1.62, 2.201]",0.0726,0.2289,0.5
资本支出_T,"(2.201, 3.013]",0.0124,0.2289,0.1
资本支出_T,"(3.013, 442.153]",-0.0001,0.2289,-0.0
sue_up_trend,"(-0.001, 0.5]",0.0455,0.8028,1.1
sue_up_trend,"(0.5, 1.0]",-0.2356,0.8028,-5.5
mf_main_net_ratio_5d,"(-0.00764, 0.00584]",-0.0017,0.8313,-0.0
mf_main_net_ratio_5d,"(-0.0169, -0.00764]",-0.1578,0.8313,-3.8
mf_main_net_ratio_5d,"(-0.0322, -0.0169]",0.0823,0.8313,2.0
mf_main_net_ratio_5d,"(-0.175, -0.0322]",0.1341,0.8313,3.2
mf_main_net_ratio_5d,"(0.00584, 0.339]",-0.053,0.8313,-1.3
基础分,-,-,-,591.3
