特征,分箱范围,WOE值,0-100分制得分,逻辑回归系数,评分卡系数
个股PB,"(0.33, 2.574]",0.1348,1.26,0.4111,9.354983651657323
个股PB,"(2.574, 3.389]",0.0731,0.68,0.4111,9.354983651657323
个股PB,"(3.389, 4.311]",-0.2343,-2.19,0.4111,9.354983651657323
个股PB,"(4.311, 305.969]",-0.2359,-2.21,0.4111,9.354983651657323
总分_斜率,"(-1.17, 5.78]",-0.345,-2.75,0.3508,7.982798017517364
总分_斜率,"(-6.891, -1.17]",0.0507,0.4,0.3508,7.982798017517364
净资产增长,"(-450.05199999999996, 6.794]",0.043,0.41,0.4171,9.491519535651348
净资产增长,"(6.794, 2458.662]",-0.3832,-3.64,0.4171,9.491519535651348
年化收益_250d,"(-0.685, 0.0205]",-0.0568,-0.45,0.3465,7.884947300654979
年化收益_250d,"(0.0205, 0.156]",0.076,0.6,0.3465,7.884947300654979
年化收益_250d,"(0.156, 0.31]",0.2053,1.62,0.3465,7.884947300654979
年化收益_250d,"(0.31, 11.081]",-0.2062,-1.63,0.3465,7.884947300654979
ROA,"(-61.605, 4.944]",0.0408,0.22,0.232,5.2793875144356575
ROA,"(4.944, 87.64]",-0.3646,-1.92,0.232,5.2793875144356575
区间收益_120d,"(-0.622, 0.00508]",-0.0115,-0.03,0.0993,2.259668880101124
区间收益_120d,"(0.00508, 0.095]",0.0809,0.18,0.0993,2.259668880101124
区间收益_120d,"(0.095, 0.204]",0.0758,0.17,0.0993,2.259668880101124
区间收益_120d,"(0.204, 5.35]",-0.2247,-0.51,0.0993,2.259668880101124
营收增长2,"(-100.001, 14.818]",0.0396,-0.02,-0.0198,-0.45056841718028456
营收增长2,"(14.818, 40852.809]",-0.3532,0.16,-0.0198,-0.45056841718028456
smc_premium_discount_M,"(-0.001, 0.245]",0.1614,2.64,0.7192,16.366101294750536
smc_premium_discount_M,"(0.245, 0.428]",0.0363,0.59,0.7192,16.366101294750536
smc_premium_discount_M,"(0.428, 0.532]",-0.0643,-1.05,0.7192,16.366101294750536
smc_premium_discount_M,"(0.532, 0.744]",-0.1819,-2.98,0.7192,16.366101294750536
smc_premium_discount_M,"(0.744, 1.0]",0.0532,0.87,0.7192,16.366101294750536
流动资产周转率,"(-0.001, 0.906]",0.0379,0.39,0.4516,10.276600868616995
流动资产周转率,"(0.906, 8.924]",-0.3382,-3.48,0.4516,10.276600868616995
净利润_fcf_T1,"(-144.095, 0.845]",-0.2044,-1.89,0.4067,9.254857336728369
净利润_fcf_T1,"(0.845, 1.181]",0.0627,0.58,0.4067,9.254857336728369
净利润_fcf_T1,"(1.181, 1.543]",-0.166,-1.54,0.4067,9.254857336728369
净利润_fcf_T1,"(1.543, 641.99]",0.0647,0.6,0.4067,9.254857336728369
smc_fvg_net_W,"(-1.0, 0.0]",-0.0334,-0.6,0.7863,17.893027597417056
smc_fvg_net_W,"(-7.001, -1.0]",0.1227,2.2,0.7863,17.893027597417056
smc_fvg_net_W,"(0.0, 1.0]",-0.0068,-0.12,0.7863,17.893027597417056
