特征,系数(标准化后),影响,影响强度
FCF年份_T4,0.9078777918027743,↑正相关（高分→盈利）,★★★
折旧_T2,0.7816079787369468,↑正相关（高分→盈利）,★★★
资本支出_CAGR2,0.7542549455973361,↑正相关（高分→盈利）,★★★
MA30,0.7054156374855413,↑正相关（高分→盈利）,★★★
净利润_fcf_T3,0.6915075399517802,↑正相关（高分→盈利）,★★★
市场波动率_120d,0.634681919792287,↑正相关（高分→盈利）,★★★
同行市值_均值,0.5773488771486566,↑正相关（高分→盈利）,★★★
行业胜率_120d,0.4840569477131099,↑正相关（高分→盈利）,★★★
报价日价格_excel,0.48142170538756224,↑正相关（高分→盈利）,★★★
营收_加速,0.4737612002510128,↑正相关（高分→盈利）,★★★
营收_YoY,0.46461231809886744,↑正相关（高分→盈利）,★★★
当前价,0.44861305344309316,↑正相关（高分→盈利）,★★★
step1通过,0.44828006237174073,↑正相关（高分→盈利）,★★★
行业MA250,0.4212916885088113,↑正相关（高分→盈利）,★★★
漂移率,0.4145856364588349,↑正相关（高分→盈利）,★★★
波动率_120d,0.4144566956626063,↑正相关（高分→盈利）,★★★
vol_ratio_60_250,0.4012967909557986,↑正相关（高分→盈利）,★★★
同行PE_中位,0.39917840689434414,↑正相关（高分→盈利）,★★★
净利润_fcf_T1,0.39654244295095353,↑正相关（高分→盈利）,★★★
step2通过,0.39413846393856244,↑正相关（高分→盈利）,★★★
资本支出_T1,0.391962214595456,↑正相关（高分→盈利）,★★★
FCF_YoY,0.38278942675037836,↑正相关（高分→盈利）,★★★
PB_vs_同行中位,0.35117806456815265,↑正相关（高分→盈利）,★★★
行业波动率_250d,0.3423674544521938,↑正相关（高分→盈利）,★★★
市场_above_MA250,0.335475449390616,↑正相关（高分→盈利）,★★★
价格标准差,0.3161306626575992,↑正相关（高分→盈利）,★★★
溢价率上限_excel,0.31349885419784956,↑正相关（高分→盈利）,★★★
修正PE估值_通过,0.3008557705314515,↑正相关（高分→盈利）,★★★
净利润_fcf_T,0.29204547558987454,↑正相关（高分→盈利）,★★
营收_T2,0.29104495338093084,↑正相关（高分→盈利）,★★
净利润_fcf_CAGR2,0.28831739995461225,↑正相关（高分→盈利）,★★
盈利能力_T-3,0.27888024260945243,↑正相关（高分→盈利）,★★
行业PB_60d增长,0.27511028737741694,↑正相关（高分→盈利）,★★
行业年化收益_250d,0.26732279164120776,↑正相关（高分→盈利）,★★
行业区间收益_250d,0.26732279164120776,↑正相关（高分→盈利）,★★
报价日,0.25943828171284117,↑正相关（高分→盈利）,★★
营收_T1,0.24970482059502197,↑正相关（高分→盈利）,★★
行业级别,0.24962204936543655,↑正相关（高分→盈利）,★★
行业PE_120d增长,0.2494727344446578,↑正相关（高分→盈利）,★★
营收_T,0.2345477927713106,↑正相关（高分→盈利）,★★
折旧_T4,0.22963936913540445,↑正相关（高分→盈利）,★★
胜率_250d,0.20703700512769665,↑正相关（高分→盈利）,★★
年化收益_120d,0.2062686932950951,↑正相关（高分→盈利）,★★
PE_vs_同行均值,0.19945666804373316,↑正相关（高分→盈利）,★★
NOPAT_YoY,0.19460498637215545,↑正相关（高分→盈利）,★★
营业利润_YoY,0.19460498637215545,↑正相关（高分→盈利）,★★
营收_T4,0.1931238515909995,↑正相关（高分→盈利）,★★
年化收益_60d,0.19284443385685845,↑正相关（高分→盈利）,★★
NOPAT_T1,0.18614281786043407,↑正相关（高分→盈利）,★★
营业利润_T1,0.1861410301569911,↑正相关（高分→盈利）,★★
盈利能力_T,0.1754707521816585,↑正相关（高分→盈利）,★★
净利润_fcf_T4,0.1735207863236279,↑正相关（高分→盈利）,★★
行业区间收益_20d,0.1724942000640832,↑正相关（高分→盈利）,★★
行业年化收益_20d,0.16774076607573535,↑正相关（高分→盈利）,★★
总分_T,0.1669243963231941,↑正相关（高分→盈利）,★★
净利润_fcf_T2,0.164476448744917,↑正相关（高分→盈利）,★★
净利润_fcf_加速,0.16383595426527897,↑正相关（高分→盈利）,★★
PE_vs_行业,0.16221010481159992,↑正相关（高分→盈利）,★★
锁定价当前价,0.15662913270067863,↑正相关（高分→盈利）,★★
报价日价格,0.15662913270067863,↑正相关（高分→盈利）,★★
盈利能力_delta_1y,0.14663680183947658,↑正相关（高分→盈利）,★
行情_时间匹配,0.14369980954101783,↑正相关（高分→盈利）,★
盈利能力_delta_4y,0.1401622770870899,↑正相关（高分→盈利）,★
总分_T-4,0.12873556995977972,↑正相关（高分→盈利）,★
总分_斜率,0.12672438772241498,↑正相关（高分→盈利）,★
return_acceleration,0.12592088078860686,↑正相关（高分→盈利）,★
营收_3年斜率,0.12471113725099335,↑正相关（高分→盈利）,★
行业波动率_总,0.11884862842362096,↑正相关（高分→盈利）,★
行业波动率_60d,0.11884862842362096,↑正相关（高分→盈利）,★
price_vs_MA250,0.1180665401827377,↑正相关（高分→盈利）,★
行业胜率_60d,0.10972828814243182,↑正相关（高分→盈利）,★
区间收益_20d,0.10965100126093973,↑正相关（高分→盈利）,★
成长能力_T,0.10900414555193247,↑正相关（高分→盈利）,★
NOPAT_T4,0.10786206746363093,↑正相关（高分→盈利）,★
营业利润_T4,0.10785137053771728,↑正相关（高分→盈利）,★
市场指数_通过,0.10574718049509252,↑正相关（高分→盈利）,★
年化收益_20d,0.09707113339991745,↑正相关（高分→盈利）,★
折旧_T,0.0963090188277131,↑正相关（高分→盈利）,★
胜率_60d,0.08600568137025007,↑正相关（高分→盈利）,★
同行PE_标准差,0.08415607253754126,↑正相关（高分→盈利）,★
个股PB,0.08040734512790541,↑正相关（高分→盈利）,★
同行PS_均值,0.07953662651368852,↑正相关（高分→盈利）,★
行业PE,0.07281100208064337,↑正相关（高分→盈利）,★
子场景通过数,0.0710587087105936,↑正相关（高分→盈利）,★
均价_all,0.07080287257599326,↑正相关（高分→盈利）,★
总分_delta_1y,0.06565427404997008,↑正相关（高分→盈利）,★
price_vs_MA60,0.056102861301691447,↑正相关（高分→盈利）,★
NOPAT_3年斜率,0.05296276158247311,↑正相关（高分→盈利）,★
MA20,0.05144759106567763,↑正相关（高分→盈利）,★
总分_T-2,0.049927568992037416,↑正相关（高分→盈利）,★
净利润_fcf_YoY,0.04716977150465359,↑正相关（高分→盈利）,★
邀请日,0.046056888027453856,↑正相关（高分→盈利）,★
成长能力_T-3,0.04364876644877189,↑正相关（高分→盈利）,★
FCF_3年斜率,0.04296539619294674,↑正相关（高分→盈利）,★
总分_delta_2y,0.04234327027266585,↑正相关（高分→盈利）,★
资本支出_YoY,0.033270748250311795,↑正相关（高分→盈利）,★
DCF估值_通过,0.03250261643593623,↑正相关（高分→盈利）,★
capex_intensity,0.032044508664964076,↑正相关（高分→盈利）,★
资本支出_T3,0.02771487540643293,↑正相关（高分→盈利）,★
行业总天数,0.026804829085595127,↑正相关（高分→盈利）,★
营业利润率_is,0.024378109955580273,↑正相关（高分→盈利）,★
扣非净利增长,0.023763309574618915,↑正相关（高分→盈利）,★
存货,0.0233702995411585,↑正相关（高分→盈利）,★
净利增长,0.023214609476679995,↑正相关（高分→盈利）,★
市场胜率_120d,0.02271369817633603,↑正相关（高分→盈利）,★
PB_vs_同行均值,0.022256622648248778,↑正相关（高分→盈利）,★
净利润率_is,0.02219304558031598,↑正相关（高分→盈利）,★
研发费用率,0.022131623082370884,↑正相关（高分→盈利）,★
行业漂移率,0.020117007492780944,↑正相关（高分→盈利）,★
行业年化收益_60d,0.020117007492780944,↑正相关（高分→盈利）,★
总资产净利率,0.018757698167483634,↑正相关（高分→盈利）,★
净利率,0.018502526365130553,↑正相关（高分→盈利）,★
研发费用率_is,0.01811484233345358,↑正相关（高分→盈利）,★
行业区间收益_60d,0.016738742804159663,↑正相关（高分→盈利）,★
已获利息倍数,0.01519692505237301,↑正相关（高分→盈利）,★
反向推算_通过,0.015111483150230242,↑正相关（高分→盈利）,★
成长能力_斜率,0.014558909326482662,↑正相关（高分→盈利）,★
毛利率,0.014277077152003461,↑正相关（高分→盈利）,★
营收增长2,0.014266924625557483,↑正相关（高分→盈利）,★
总营收增长,0.014266924625557483,↑正相关（高分→盈利）,★
ROA,0.014094798857347521,↑正相关（高分→盈利）,★
ROE增长,0.01358395933249286,↑正相关（高分→盈利）,★
ROE摊薄,0.013063241063543857,↑正相关（高分→盈利）,★
利润增长,0.012857222600532849,↑正相关（高分→盈利）,★
产权比率,0.012823558767592716,↑正相关（高分→盈利）,★
营收增长,0.012461298850762186,↑正相关（高分→盈利）,★
利息资本化率,0.011881814790354708,↑正相关（高分→盈利）,★
个股PS,0.01122638716838629,↑正相关（高分→盈利）,★
ROE,0.010960936519681531,↑正相关（高分→盈利）,★
资产负债率,0.00962338420259973,↑正相关（高分→盈利）,★
应收账款,0.009285594425702582,↑正相关（高分→盈利）,★
总分_T-1,0.008393185839226547,↑正相关（高分→盈利）,★
长期借款,0.005114250926898214,↑正相关（高分→盈利）,★
财报年份,0.005035695424072443,↑正相关（高分→盈利）,★
报价日_excel,0.00408305284901986,↑正相关（高分→盈利）,★
归母净利润,0.003943918856334975,↑正相关（高分→盈利）,★
净利润_y,0.003785781969282481,↑正相关（高分→盈利）,★
盈利能力_T-2,0.0037748449328880874,↑正相关（高分→盈利）,★
短期借款,0.0036613701585791834,↑正相关（高分→盈利）,★
利润总额,0.0036588114316528477,↑正相关（高分→盈利）,★
营业利润,0.003648094972319089,↑正相关（高分→盈利）,★
流动资产,0.003554719836406846,↑正相关（高分→盈利）,★
现金利息负债比,0.0032797837903438196,↑正相关（高分→盈利）,★
净资产增长,0.003260354174666321,↑正相关（高分→盈利）,★
股东权益,0.002918536817400386,↑正相关（高分→盈利）,★
fin_exp,0.002908995593798226,↑正相关（高分→盈利）,★
总负债,0.0028950034142625623,↑正相关（高分→盈利）,★
总资产,0.0028298629867775644,↑正相关（高分→盈利）,★
rd_exp,0.0028194103592689805,↑正相关（高分→盈利）,★
流动负债,0.00268688785726478,↑正相关（高分→盈利）,★
营业总收入,0.002594793267119389,↑正相关（高分→盈利）,★
营业收入,0.002594793267119389,↑正相关（高分→盈利）,★
货币资金,0.0022203205796250233,↑正相关（高分→盈利）,★
应收账款周转率,0.0020438521794926144,↑正相关（高分→盈利）,★
admin_exp,0.001726168564912013,↑正相关（高分→盈利）,★
商誉,0.0016236305245506321,↑正相关（高分→盈利）,★
经营现金流,0.001579705256957314,↑正相关（高分→盈利）,★
固定资产,0.0009182033832525617,↑正相关（高分→盈利）,★
溢价率下限_excel,1.3114091802044827e-18,↑正相关（高分→盈利）,★
溢价率,6.557045901022413e-19,↑正相关（高分→盈利）,★
无风险利率,3.2785229505112067e-19,↑正相关（高分→盈利）,★
sw_l2_name,0.0,↓负相关（高分→亏损）,★
sw_l1_code,0.0,↓负相关（高分→亏损）,★
营业利润率,0.0,↓负相关（高分→亏损）,★
sw_l1_name,0.0,↓负相关（高分→亏损）,★
锁定期,0.0,↓负相关（高分→亏损）,★
