rank,feature,importance,importance_pct,cum_pct,IV,IV_label,corr,coverage,is_derived
1,市场波动率_120d,107,2.852572647294055,2.852572647294055,0.1080360386116537,中等,0.13649215655894525,99.59546925566343,🆕
2,报价日_excel,102,2.719274860037323,5.571847507331379,0.2069889079780997,中等,-0.05009112493438768,99.91909385113269,
3,市场波动率比值,88,2.346041055718475,7.9178885630498534,0.1851421924902186,中等,0.027452302326634002,99.59546925566343,🆕
4,波动率_60d,71,1.8928285790455877,9.810717142095442,0.0537308398483282,弱,-0.08904901333023349,99.67637540453075,
5,报价日_md,70,1.8661690215942415,11.676886163689684,0.12349081054956262,中等,-0.04352040635592158,91.8284789644013,
6,price_vs_MA20,68,1.8128499066915489,13.489736070381232,0.04005813530728307,弱,-0.08859363510115076,99.67637540453075,🆕
7,行业胜率_120d,58,1.5462543321780857,15.035990402559317,0.08305822781255331,弱,0.08262501239059677,99.02912621359224,
8,行业年化收益_60d,56,1.4929352172753934,16.52892561983471,0.06787963681249348,弱,0.09482479680257958,99.02912621359224,
9,盈利能力_delta_1y,52,1.3862969874700082,17.915222607304717,0.097571578267823,弱,0.1299237534408712,96.35922330097088,🆕
10,同行市值_均值,51,1.3596374300186616,19.27486003732338,0.09423657946789422,弱,0.05752154317496936,98.54368932038835,
11,同行PE_中位,48,1.2796587576646228,20.554518794988002,0.047086944445610845,弱,-0.015418357682864207,98.2200647249191,
12,波动率_250d,46,1.2263396427619302,21.780858437749934,0.06533966613862473,弱,-0.10284969077511616,94.90291262135922,
13,盈利能力_T,43,1.1463609704078912,22.927219408157825,0.03673078796921719,弱,0.05831318894229598,96.35922330097088,
14,总分_delta_1y,42,1.1197014129565448,24.04692082111437,0.09417892710456713,弱,0.1347080739602016,96.35922330097088,🆕
15,行业年化收益_20d,42,1.1197014129565448,25.166622234070914,0.0902534239527734,弱,0.10866280523403904,99.02912621359224,
16,price_vs_MA250,42,1.1197014129565448,26.28632364702746,0.0906068144196,弱,-0.0813356896795582,95.55016181229773,🆕
17,price_vs_MA120,41,1.0930418555051986,27.379365502532657,0.043951861101268724,弱,-0.08161279805205698,99.67637540453075,🆕
18,个股PS,41,1.0930418555051986,28.472407358037856,0.04920511579606782,弱,-0.03788560515355449,99.02912621359224,
19,总分_T-4,40,1.0663822980538524,29.53878965609171,0.03877656495807118,弱,0.03623378358286318,96.27831715210357,
20,个股PB,40,1.0663822980538524,30.60517195414556,0.1626836420122739,中等,-0.08319405562088197,98.86731391585761,
21,FCF_T3,39,1.039722740602506,31.644894694748068,0.023910856079230904,弱,0.004419309782018421,85.43689320388349,
22,同行PS_中位,38,1.0130631831511596,32.65795787789923,0.07502567215870107,弱,-0.034631847459517126,98.54368932038835,
23,行业波动率_250d,38,1.0130631831511596,33.67102106105039,0.09402175371282566,弱,0.054786413175188106,99.02912621359224,
24,成长能力_delta_1y,37,0.9864036256998134,34.657424686750204,0.0686462626781049,弱,0.09771894038770115,96.35922330097088,🆕
25,capex_intensity,37,0.9864036256998134,35.64382831245002,0.086814134034978,弱,0.0015660201272742202,85.51779935275081,🆕
26,FCF_T1,36,0.959744068248467,36.60357238069849,0.03848844342891367,弱,0.017594539869906646,85.51779935275081,
27,同行公司数,34,0.9064249533457744,37.509997334044265,0.055831285749687466,弱,-0.0752209961336164,98.54368932038835,
28,市场距离MA250,34,0.9064249533457744,38.41642228739004,0.070297129267282,弱,0.02870651203117882,99.59546925566343,🆕
29,报价日,32,0.8531058384430819,39.269528125833126,0.20775002528567882,中等,-0.04873033158689674,99.59546925566343,
30,成长能力_delta_2y,31,0.8264462809917356,40.095974406824865,0.047632644644577636,弱,0.09092799685818967,96.35922330097088,🆕
31,行业PE,30,0.7997867235403893,40.89576113036525,0.030257395245052915,弱,-0.006158195350063272,99.02912621359224,
32,资本支出_T4,29,0.7731271660890429,41.66888829645429,0.020475470279586672,弱,-0.03447703118405466,85.19417475728154,
33,MA120,29,0.7731271660890429,42.44201546254333,0.14033747144546188,中等,-0.09825103778223834,99.67637540453075,
34,区间收益_60d,28,0.7464676086376967,43.188483071181025,0.038230111562045865,弱,-0.07368171373614063,99.67637540453075,
35,净利润_x,28,0.7464676086376967,43.93495067981872,0.04702496025870034,弱,0.023786981100511993,99.67637540453075,
36,价格标准差,27,0.7198080511863503,44.65475873100507,0.14027765570572687,中等,-0.08373477041068209,91.8284789644013,
37,capex_to_dep,27,0.7198080511863503,45.374566782191415,0.08337089159241923,弱,-0.05400085016777083,85.43689320388349,🆕
38,市场胜率_120d,27,0.7198080511863503,46.09437483337776,0.08286159850997166,弱,0.027521952783298373,99.59546925566343,🆕
39,行业波动率_60d,27,0.7198080511863503,46.81418288456411,0.050838837976022365,弱,0.03800267493902253,99.02912621359224,
40,营收_T1,27,0.7198080511863503,47.53399093575046,0.028628102332931032,弱,-0.02131995083351031,85.51779935275081,
