feature,importance
市场波动率_120d,107
报价日_excel,102
市场波动率比值,88
波动率_60d,71
报价日_md,70
price_vs_MA20,68
行业胜率_120d,58
行业年化收益_60d,56
盈利能力_delta_1y,52
同行市值_均值,51
同行PE_中位,48
波动率_250d,46
盈利能力_T,43
总分_delta_1y,42
行业年化收益_20d,42
price_vs_MA250,42
price_vs_MA120,41
个股PS,41
总分_T-4,40
个股PB,40
FCF_T3,39
同行PS_中位,38
行业波动率_250d,38
成长能力_delta_1y,37
capex_intensity,37
FCF_T1,36
同行公司数,34
市场距离MA250,34
报价日,32
成长能力_delta_2y,31
行业PE,30
资本支出_T4,29
MA120,29
区间收益_60d,28
净利润_x,28
价格标准差,27
capex_to_dep,27
市场胜率_120d,27
行业波动率_60d,27
营收_T1,27
vol_ratio_60_250,27
PE_vs_行业,27
行业年化收益_120d,27
营收_YoY,27
数据天数,27
年化收益_20d,26
return_acceleration,26
同行市值_中位,25
PE_vs_同行均值,25
NOPAT_CAGR2,24
同行PS_均值,24
成长能力_T-2,24
年化收益_120d,24
PB_vs_同行均值,24
行业PB,23
成长能力_T-1,23
盈利能力_T-3,23
营收_3年斜率,23
FCF_加速,23
总分_T-2,23
盈利能力_delta_2y,22
年化收益_250d,22
price_vs_MA60,22
FCF_T2,22
同行PE_标准差,22
营收_加速,22
同行PE_均值,22
行业波动率_20d,22
报价日价格_excel,21
行业PB_120d增长,21
波动率,21
行业年化收益_250d,21
营收_CAGR2,20
PS_vs_同行均值,20
资本支出_YoY,20
总分_T-1,20
胜率_120d,19
资本支出_T3,19
成长能力_T-4,18
行业波动率_120d,18
净利润_fcf_T4,18
行业MA250,18
成长能力_delta_4y,17
行业胜率_250d,17
净利润_fcf_T1,17
盈利能力_T-1,17
行业PB_250d增长,17
FCF_margin,17
年化收益_60d,17
PB_vs_行业,17
漂移率,17
资本支出_CAGR2,16
胜率_250d,15
波动率_20d,15
MA250,15
总分_T-3,15
邀请日,15
同行PB_均值,15
营收_T,15
营收_T2,15
营业利润_T4,14
FCF_YoY,14
市场年化收益_120d,14
盈利能力_delta_4y,14
折旧_T,14
行业胜率_60d,13
资本支出_加速,13
营业利润_T,13
同行PB_中位,13
总分_T,13
盈利能力_T-4,13
vol_ratio_20_60,13
MA60,13
胜率_60d,13
中位价,13
FCF_T4,12
营收_T4,12
资本支出_T2,12
成长能力_T,12
NOPAT_YoY,12
净利润_fcf_CAGR2,12
总分_delta_4y,12
资本支出_T1,12
区间收益_120d,11
波动率_120d,11
区间收益_20d,11
个股PE,11
行业MA120,11
FCF_T,11
行业区间收益_20d,10
折旧_T4,10
当前价,10
均价_all,9
NOPAT_加速,9
FCF_conversion,9
盈利能力_斜率,9
PE_vs_同行中位,9
营业利润_T2,9
总分_斜率,9
NOPAT_3年斜率,8
行业区间收益_60d,8
净利润_fcf_YoY,8
行业总天数,8
总分_delta_2y,8
FCF_3年斜率,8
净利润_fcf_T2,7
净利润_fcf_T3,7
营业利润_CAGR2,7
行业级别,7
净利润_fcf_T,7
NOPAT_margin,7
行业MA60,7
净利润_fcf_加速,7
行业PE_250d增长,7
PB_vs_同行中位,6
成长能力_T-3,6
成长能力_斜率,6
NOPAT_T4,6
营业利润_T3,6
行业区间收益_120d,6
行业波动率_总,6
营收_T3,6
折旧_T2,6
行业胜率_20d,5
子场景通过数,5
溢价率上限_excel,5
MA20,5
营业利润_T1,5
盈利能力_T-2,5
资本支出_T,5
溢价率上限,5
行业漂移率,5
行业MA20,5
MA30,4
折旧_T1,4
行业区间收益_250d,4
营业利润_YoY,4
DCF估值_通过,3
胜率_20d,3
区间收益_250d,3
个股PE_通过,3
FCF_CAGR2,3
报价日价格,3
行业PE_120d增长,3
FCF年份_T,3
行业PB_60d增长,3
NOPAT_T,3
step2通过,2
报价日MA20,2
营业利润_加速,2
折旧_T3,2
行业PE_60d增长,1
step1通过,1
有效阈值数,1
锁定价当前价,1
最新交易日,1
行业PE_通过,1
修正PE估值_通过,1
NOPAT_T1,1
蒙特卡洛_通过,1
NOPAT_T3,1
评级_T-4,0
评级_T-1,0
评级_T-3,0
评级_T,0
市场_above_MA250,0
营运资金变动_T4,0
评级_T-2,0
总资产净利率,0
ROE,0
ROE摊薄,0
现金流动负债比,0
现金利息负债比,0
净利率,0
毛利率,0
FCF年份_T4,0
财报年份,0
流动比率,0
速动比率,0
存货周转率,0
应收账款周转率,0
流动资产周转率,0
总资产周转率,0
ROA,0
ROE增长,0
总营收增长,0
营收增长2,0
净资产增长,0
report_year,0
总资产,0
流动资产,0
非流动资产,0
总负债,0
流动负债,0
非流动负债,0
股东权益,0
货币资金,0
存货,0
应收账款,0
商誉,0
无形资产,0
固定资产,0
总股本,0
短期借款,0
长期借款,0
应付债券,0
资产负债比,0
资产负债率,0
利息资本化率,0
产权比率,0
已获利息倍数,0
研发费用率,0
营收增长,0
利润增长,0
净利增长,0
扣非净利增长,0
归母净利润,0
净利润_y,0
利润总额,0
营业利润,0
营业收入,0
营业总收入,0
无形资产占比,0
商誉占总资产比,0
流动比率_bs,0
营业利润率_is,0
fin_exp,0
sell_exp,0
基本EPS,0
EBIT,0
EBITDA,0
admin_exp,0
FCF年份_T2,0
营运资金变动_T3,0
FCF年份_T3,0
营运资金变动_T,0
营运资金变动_T1,0
FCF年份_T1,0
sw_l3_code,0
sw_l3_name,0
经营现金流,0
净利润率_is,0
管理费用率,0
销售费用率,0
研发费用率_is,0
NOPAT_T2,0
营运资金变动_T2,0
rd_exp,0
sw_l1_name,0
sw_l1_code,0
net_profit,0
筹资活动现金流,0
投资活动现金流,0
经营活动现金流小计,0
投资现金流,0
sw_l2_name,0
溢价率,0
无风险利率,0
净资产负债表,0
净债务,0
sw_l2_code,0
step3通过,0
融资金额,0
锁定期,0
溢价率下限,0
Beta,0
营业利润率,0
营收增长率,0
参数构造_通过,0
反向推算_通过,0
行业PS,0
行情_时间匹配,0
有效阈值数_excel,0
定增建议参与,0
溢价率下限_excel,0
总分_趋势,0
成长能力_趋势,0
盈利能力_趋势,0
市场指数_通过,0
综合趋势,0
