特征,系数(标准化后),影响,影响强度
折旧_T2,1.2290276849069357,↑正相关（高分→盈利）,★★★
净利润_fcf_T3,0.9114674694458444,↑正相关（高分→盈利）,★★★
资本支出_CAGR2,0.9042693549267597,↑正相关（高分→盈利）,★★★
盈利能力_delta_4y,0.7723760301343497,↑正相关（高分→盈利）,★★★
锁定价当前价,0.6586989581835848,↑正相关（高分→盈利）,★★★
营收_YoY,0.6429557107138626,↑正相关（高分→盈利）,★★★
市场波动率_120d,0.6145526815923325,↑正相关（高分→盈利）,★★★
营收_加速,0.6014199879925298,↑正相关（高分→盈利）,★★★
FCF_YoY,0.593656988323409,↑正相关（高分→盈利）,★★★
当前价,0.5866054339420103,↑正相关（高分→盈利）,★★★
总分_斜率,0.5776591212073265,↑正相关（高分→盈利）,★★★
总分_T-4,0.5760662146599108,↑正相关（高分→盈利）,★★★
FCF年份_T4,0.557281540708089,↑正相关（高分→盈利）,★★★
同行PE_中位,0.5393212167149655,↑正相关（高分→盈利）,★★★
PB_vs_同行均值,0.5391318858655216,↑正相关（高分→盈利）,★★★
PE_vs_同行均值,0.516590201150005,↑正相关（高分→盈利）,★★★
行业胜率_120d,0.4937728688999712,↑正相关（高分→盈利）,★★★
盈利能力_T-4,0.490545120914541,↑正相关（高分→盈利）,★★★
ROA,0.48759622282444,↑正相关（高分→盈利）,★★★
营收_T1,0.48161986265275214,↑正相关（高分→盈利）,★★★
PB_vs_同行中位,0.47379872917774035,↑正相关（高分→盈利）,★★★
盈利能力_T-2,0.4408992679674015,↑正相关（高分→盈利）,★★★
定增建议参与,0.4277753134549186,↑正相关（高分→盈利）,★★★
市场_above_MA250,0.42544656361340666,↑正相关（高分→盈利）,★★★
价格标准差,0.42521349717308504,↑正相关（高分→盈利）,★★★
return_acceleration,0.42427992730351455,↑正相关（高分→盈利）,★★★
净资产增长,0.416836445611031,↑正相关（高分→盈利）,★★★
MA30,0.4126071358885966,↑正相关（高分→盈利）,★★★
营收_T2,0.39764225965576505,↑正相关（高分→盈利）,★★★
报价日,0.3945590339136656,↑正相关（高分→盈利）,★★★
净利润_fcf_T,0.38720146728032495,↑正相关（高分→盈利）,★★★
波动率_120d,0.32021668865231395,↑正相关（高分→盈利）,★★★
行业MA250,0.3094427360356148,↑正相关（高分→盈利）,★★★
vol_ratio_60_250,0.30793604641820177,↑正相关（高分→盈利）,★★★
营收_T,0.3078552613037267,↑正相关（高分→盈利）,★★★
盈利能力_delta_2y,0.30596609893600063,↑正相关（高分→盈利）,★★★
年化收益_60d,0.30452697443941074,↑正相关（高分→盈利）,★★★
成长能力_T,0.29636903724496616,↑正相关（高分→盈利）,★★
修正PE估值_通过,0.27028842325337726,↑正相关（高分→盈利）,★★
漂移率,0.2673125593272003,↑正相关（高分→盈利）,★★
净利润_fcf_CAGR2,0.25589003529348975,↑正相关（高分→盈利）,★★
同行市值_均值,0.25468375522545234,↑正相关（高分→盈利）,★★
产权比率,0.25335529520271094,↑正相关（高分→盈利）,★★
资本支出_T1,0.24432106342996826,↑正相关（高分→盈利）,★★
速动比率,0.24000879426015556,↑正相关（高分→盈利）,★★
营收_3年斜率,0.23823826766050732,↑正相关（高分→盈利）,★★
营业利润_T1,0.2192108320942322,↑正相关（高分→盈利）,★★
NOPAT_T1,0.21920372944181982,↑正相关（高分→盈利）,★★
总分_T-3,0.2135039704894754,↑正相关（高分→盈利）,★★
净利润_fcf_加速,0.20478943426932059,↑正相关（高分→盈利）,★★
行业区间收益_250d,0.19078096953313117,↑正相关（高分→盈利）,★★
行业年化收益_250d,0.19078096953313117,↑正相关（高分→盈利）,★★
price_vs_MA60,0.18391845179584718,↑正相关（高分→盈利）,★★
区间收益_120d,0.18318931841826336,↑正相关（高分→盈利）,★★
同行PS_均值,0.18049881441707755,↑正相关（高分→盈利）,★★
同行PE_标准差,0.1803599659907995,↑正相关（高分→盈利）,★★
行业PE_120d增长,0.17591164433749898,↑正相关（高分→盈利）,★★
流动资产周转率,0.16967072579073214,↑正相关（高分→盈利）,★★
MA20,0.1683969738792013,↑正相关（高分→盈利）,★★
行业波动率_60d,0.16399017687816803,↑正相关（高分→盈利）,★★
行业波动率_总,0.16399017687816803,↑正相关（高分→盈利）,★★
成长能力_T-1,0.16328136539935295,↑正相关（高分→盈利）,★★
行业区间收益_20d,0.16302902808040598,↑正相关（高分→盈利）,★★
MA60,0.1602887520265208,↑正相关（高分→盈利）,★★
行业年化收益_20d,0.16012042900430415,↑正相关（高分→盈利）,★★
胜率_250d,0.15866467487774727,↑正相关（高分→盈利）,★★
营业利润_YoY,0.14768262111761546,↑正相关（高分→盈利）,★
NOPAT_YoY,0.1471313360428299,↑正相关（高分→盈利）,★
波动率_20d,0.13517688315463877,↑正相关（高分→盈利）,★
市场胜率_120d,0.1318855193754352,↑正相关（高分→盈利）,★
利息资本化率,0.13000380277052231,↑正相关（高分→盈利）,★
研发费用率,0.12012482104843197,↑正相关（高分→盈利）,★
市场指数_通过,0.11323154340769714,↑正相关（高分→盈利）,★
年化收益_20d,0.11307534406088894,↑正相关（高分→盈利）,★
净利润_fcf_T2,0.10935284276028184,↑正相关（高分→盈利）,★
个股PB,0.10570412584431839,↑正相关（高分→盈利）,★
行业PB_60d增长,0.10384122424793471,↑正相关（高分→盈利）,★
行业MA60,0.09509820147684114,↑正相关（高分→盈利）,★
净利润_fcf_T4,0.09470613074483998,↑正相关（高分→盈利）,★
区间收益_20d,0.0792969571707276,↑正相关（高分→盈利）,★
行业波动率_250d,0.07131742600686887,↑正相关（高分→盈利）,★
利润增长,0.06991030875905514,↑正相关（高分→盈利）,★
存货,0.06608698730462016,↑正相关（高分→盈利）,★
邀请日,0.06603200644939576,↑正相关（高分→盈利）,★
ROE增长,0.06421452405936656,↑正相关（高分→盈利）,★
应收账款,0.05781639315217769,↑正相关（高分→盈利）,★
胜率_120d,0.05717280873463206,↑正相关（高分→盈利）,★
子场景通过数,0.0533838911930408,↑正相关（高分→盈利）,★
总分_delta_2y,0.04960516120101646,↑正相关（高分→盈利）,★
行业PE,0.047506958668228225,↑正相关（高分→盈利）,★
波动率,0.04733152284610335,↑正相关（高分→盈利）,★
营业利润率_is,0.04688408372231961,↑正相关（高分→盈利）,★
资本支出_YoY,0.04617075605350347,↑正相关（高分→盈利）,★
ROE,0.04449574483406678,↑正相关（高分→盈利）,★
ROE摊薄,0.04449574483406678,↑正相关（高分→盈利）,★
MA250,0.044115046349598015,↑正相关（高分→盈利）,★
研发费用率_is,0.04132990504417049,↑正相关（高分→盈利）,★
成长能力_delta_4y,0.04007207575406685,↑正相关（高分→盈利）,★
行业年化收益_60d,0.03992774273349457,↑正相关（高分→盈利）,★
行业漂移率,0.03992774273349457,↑正相关（高分→盈利）,★
成长能力_delta_1y,0.03905751885898536,↑正相关（高分→盈利）,★
盈利能力_T-3,0.03782174500026311,↑正相关（高分→盈利）,★
行业区间收益_60d,0.03619400700500491,↑正相关（高分→盈利）,★
净利润率_is,0.03427217133313553,↑正相关（高分→盈利）,★
行业总天数,0.03296901992165012,↑正相关（高分→盈利）,★
总分_delta_4y,0.0318412349480892,↑正相关（高分→盈利）,★
溢价率上限,0.03183504275965525,↑正相关（高分→盈利）,★
NOPAT_T,0.02692126185609165,↑正相关（高分→盈利）,★
营业利润_T4,0.025977661193500576,↑正相关（高分→盈利）,★
NOPAT_T4,0.025977661193500576,↑正相关（高分→盈利）,★
capex_intensity,0.02483304462280346,↑正相关（高分→盈利）,★
报价日_md,0.023762386450757275,↑正相关（高分→盈利）,★
最新交易日,0.023762386450757275,↑正相关（高分→盈利）,★
fin_exp,0.01977309936138175,↑正相关（高分→盈利）,★
营业利润_T,0.018713891605743042,↑正相关（高分→盈利）,★
长期借款,0.017413782992478772,↑正相关（高分→盈利）,★
行业胜率_60d,0.01701400195595098,↑正相关（高分→盈利）,★
反向推算_通过,0.014436992671894537,↑正相关（高分→盈利）,★
DCF估值_通过,0.013903012471475061,↑正相关（高分→盈利）,★
个股PE,0.012007238484698778,↑正相关（高分→盈利）,★
短期借款,0.011382471549129906,↑正相关（高分→盈利）,★
FCF_margin,0.0059051635474987015,↑正相关（高分→盈利）,★
行业级别,0.0026271468297147937,↑正相关（高分→盈利）,★
流动比率_bs,0.0014921764795713778,↑正相关（高分→盈利）,★
归母净利润,0.0003734239014866014,↑正相关（高分→盈利）,★
营业利润率,3.189038938317275e-20,↑正相关（高分→盈利）,★
营收增长率,3.189038938317275e-20,↑正相关（高分→盈利）,★
投资活动现金流,0.0,↓负相关（高分→亏损）,★
经营活动现金流小计,0.0,↓负相关（高分→亏损）,★
net_profit,0.0,↓负相关（高分→亏损）,★
非流动资产,0.0,↓负相关（高分→亏损）,★
report_year,0.0,↓负相关（高分→亏损）,★
无形资产,0.0,↓负相关（高分→亏损）,★
非流动负债,0.0,↓负相关（高分→亏损）,★
营运资金变动_T3,0.0,↓负相关（高分→亏损）,★
无形资产占比,0.0,↓负相关（高分→亏损）,★
EBIT,0.0,↓负相关（高分→亏损）,★
营运资金变动_T1,0.0,↓负相关（高分→亏损）,★
EBITDA,0.0,↓负相关（高分→亏损）,★
sell_exp,0.0,↓负相关（高分→亏损）,★
营运资金变动_T2,0.0,↓负相关（高分→亏损）,★
基本EPS,0.0,↓负相关（高分→亏损）,★
投资现金流,0.0,↓负相关（高分→亏损）,★
营运资金变动_T,0.0,↓负相关（高分→亏损）,★
行业PS,0.0,↓负相关（高分→亏损）,★
销售费用率,0.0,↓负相关（高分→亏损）,★
筹资活动现金流,0.0,↓负相关（高分→亏损）,★
Beta,0.0,↓负相关（高分→亏损）,★
融资金额,0.0,↓负相关（高分→亏损）,★
净资产负债表,0.0,↓负相关（高分→亏损）,★
净债务,0.0,↓负相关（高分→亏损）,★
锁定期,0.0,↓负相关（高分→亏损）,★
溢价率,0.0,↓负相关（高分→亏损）,★
营运资金变动_T4,0.0,↓负相关（高分→亏损）,★
