特征,分箱范围,WOE,系数,得分
个股PB,"(0.33, 2.145]",0.5016,1.1847,17.1
个股PB,"(2.145, 3.185]",0.2787,1.1847,9.5
个股PB,"(3.185, 4.447]",-0.1269,1.1847,-4.3
个股PB,"(4.447, 6.924]",-0.1949,1.1847,-6.7
个股PB,"(6.924, 305.969]",-0.4593,1.1847,-15.7
市场距离MA250,"(-0.00727, 0.0782]",0.2032,0.9548,5.6
市场距离MA250,"(-0.0843, -0.00727]",-0.5023,0.9548,-13.8
市场距离MA250,"(-0.297, -0.0843]",-0.2359,0.9548,-6.5
市场距离MA250,"(0.0782, 0.161]",0.218,0.9548,6.0
市场距离MA250,"(0.161, 0.491]",0.3062,0.9548,8.4
盈利能力_delta_1y,"(-0.75, 0.0]",0.2143,0.69,4.3
盈利能力_delta_1y,"(-12.001, -2.4]",-0.4299,0.69,-8.6
盈利能力_delta_1y,"(-2.4, -0.75]",-0.2515,0.69,-5.0
盈利能力_delta_1y,"(0.0, 0.6]",0.2647,0.69,5.3
盈利能力_delta_1y,"(0.6, 12.0]",0.2359,0.69,4.7
净资产增长,"(-3.046, 2.553]",-0.3407,0.732,-7.2
净资产增长,"(-367.924, -3.046]",-0.2281,0.732,-4.8
净资产增长,"(2.553, 3.2]",0.3752,0.732,7.9
净资产增长,"(3.2, 9.947]",-0.0054,0.732,-0.1
净资产增长,"(9.947, 624636.504]",0.197,0.732,4.2
研发费用率,"(-0.001, 0.0186]",0.1159,-0.0161,-0.1
研发费用率,"(0.0186, 0.042]",-0.0863,-0.0161,0.0
研发费用率,"(0.042, 0.0458]",0.445,-0.0161,-0.2
研发费用率,"(0.0458, 0.0762]",-0.2967,-0.0161,0.1
研发费用率,"(0.0762, 1.147]",-0.1751,-0.0161,0.1
净利润_x,"(-28116000000.001, 0.0]",0.2459,0.7183,5.1
净利润_x,"(0.0, 20503675.144]",0.394,0.7183,8.2
净利润_x,"(20503675.144, 75846784.102]",-0.1405,0.7183,-2.9
净利润_x,"(238451858.952, 73849000000.0]",-0.1676,0.7183,-3.5
净利润_x,"(75846784.102, 238451858.952]",-0.2771,0.7183,-5.7
速动比率,"(-0.001, 0.789]",0.1699,0.2315,1.1
速动比率,"(0.789, 1.183]",-0.0728,0.2315,-0.5
速动比率,"(1.183, 1.247]",0.3475,0.2315,2.3
速动比率,"(1.247, 2.073]",-0.3744,0.2315,-2.5
速动比率,"(2.073, 19.366]",-0.0728,0.2315,-0.5
净利率,"(-2.942, 3.277]",-0.1949,0.4348,-2.4
净利率,"(-2083.7980000000002, -2.942]",-0.2633,0.4348,-3.3
净利率,"(3.277, 3.864]",0.4309,0.4348,5.4
净利率,"(3.864, 9.722]",-0.0323,0.4348,-0.4
净利率,"(9.722, 178.794]",0.062,0.4348,0.8
营收_CAGR2,"(-0.814, 0.0152]",0.2651,0.1604,1.2
营收_CAGR2,"(0.0152, 0.118]",0.1429,0.1604,0.7
营收_CAGR2,"(0.118, 0.148]",0.1429,0.1604,0.7
营收_CAGR2,"(0.148, 0.308]",-0.1812,0.1604,-0.8
营收_CAGR2,"(0.308, 23.842]",-0.3744,0.1604,-1.7
成长能力_delta_1y,"(-0.88, 0.63]",0.0767,0.3903,0.9
成长能力_delta_1y,"(-2.0, -0.88]",0.2678,0.3903,3.0
成长能力_delta_1y,"(-4.12, -2.0]",-0.1859,0.3903,-2.1
成长能力_delta_1y,"(-9.001, -4.12]",-0.3521,0.3903,-4.0
成长能力_delta_1y,"(0.63, 9.0]",0.1908,0.3903,2.1
资产负债率,"(30.198, 45.311]",-0.2222,-0.0234,0.2
资产负债率,"(4.157, 30.198]",-0.2222,-0.0234,0.2
资产负债率,"(45.311, 47.852]",0.389,-0.0234,-0.3
资产负债率,"(47.852, 61.041]",-0.0728,-0.0234,0.0
资产负债率,"(61.041, 121.522]",0.1294,-0.0234,-0.1
现金利息负债比,"(-0.001, 46.068]",0.1835,0.0638,0.3
现金利息负债比,"(107.322, 270.708]",-0.2222,0.0638,-0.4
现金利息负债比,"(270.708, 480710.326]",-0.2222,0.0638,-0.4
现金利息负债比,"(46.068, 95.484]",-0.0863,0.0638,-0.2
现金利息负债比,"(95.484, 107.322]",0.3475,0.0638,0.6
基础分,-,-,-,600.7
