年份,截面数,IC均值,IC标准差,IC最小值,IC最大值,多头均值,多头标准差,最差组均值,最差组标准差,L-S均值,L-S标准差,正IC月份,正L-S月份,平均样本数
2010,12,0.06438820856840219,0.07663747173687324,-0.0842182200884222,0.1744694545829949,11.242996077555873,11.508520245573964,7.0831105431864225,13.348031050512416,4.15988553436945,6.406981027752564,10,9,1608.8333333333333
2011,12,0.10740140160293517,0.030556024587552685,0.0747584251991393,0.1621920953482101,-10.638808098936936,7.090843473693157,-17.583994376717026,8.442979625134331,6.9451862777800875,2.526260875694042,12,12,1822.6666666666667
2012,12,0.08474724156460317,0.043804659372155025,-0.0291369023905012,0.154742507960865,7.062912160401503,15.117493799435753,0.03052746289171182,14.062516342780919,7.032384697509791,6.767943603159772,11,11,2079.0
2013,12,0.07929466530820004,0.04265453718519999,-0.0061794121893514,0.1452499933164779,21.279759998602582,8.872778861195368,10.878203075141506,11.39319798844809,10.40155692346108,4.860724225449851,11,12,2141.0833333333335
2014,12,0.08371594828272594,0.027246906018489232,0.0362483816334742,0.1171700725376409,59.66735070814925,24.752974642387912,45.96986145684921,24.341137990324956,13.69748925130004,7.353828995961453,12,11,1936.5
2015,12,0.09195194544151748,0.05523699764088323,0.0312547663229518,0.1958794697316135,21.064000972520443,54.25768328934404,-11.046600954061901,15.996813188714816,32.11060192658234,47.010332147901586,12,12,1736.6666666666667
2016,12,0.167913092401376,0.07522074508798146,0.0301991667596173,0.2925780577593114,11.78354855230586,12.291668876055349,-3.2276926203448837,15.933885222120688,15.011241172650744,8.469582571657787,12,11,1973.1666666666667
2017,12,0.09971846185239058,0.059871645157913364,0.0028733422596612,0.1922648466173394,-7.2324033069065115,9.524147917590366,-15.159360304460789,5.9259669474640235,7.926956997554275,6.5165450352607746,12,10,2395.5833333333335
2018,12,0.10798586679867596,0.04311570363377468,0.0536361315423681,0.2224430434233283,1.0118686241841293,22.996003517387962,-7.69388568178659,20.671480114579357,8.70575430597072,3.241346070365728,12,12,3044.6666666666665
2019,12,0.017733328537822682,0.04276468840390636,-0.0560949802189208,0.0800684943405445,5.553085654429974,10.127147916620219,4.151331312576662,12.378189074393934,1.4017543418533105,4.78994598297329,8,9,3313.0
2020,12,0.06456825038620068,0.03657433215565059,0.0009872946347956,0.1189420999032994,10.471892856477652,13.162439622454555,7.672955604570799,15.246230413822646,2.7989372519068536,4.131595777411695,12,10,3321.75
2021,12,0.1669513938145272,0.06445019687782134,0.042383598343145,0.2663419503578679,13.2625230482896,13.177733220118148,-0.7600936444854903,13.90851655598218,14.022616692775088,6.894862777875877,12,12,3499.6666666666665
2022,12,0.13345938420366896,0.072375349559108,0.0239028905807223,0.252164259291591,8.447896539835876,9.00839243399996,-0.2400420853505331,9.901945915773268,8.68793862518641,6.927422971855018,12,9,4035.0
2023,12,0.10955377556252656,0.05281962632239829,0.0324381270432585,0.2256659708010712,-4.9389097545818315,8.18408828567591,-12.13764142715656,7.216434191597739,7.198731672574728,3.5579505648220326,12,12,4435.916666666667
2024,12,0.04202762809583194,0.06485534543197553,-0.0710454724508797,0.1551705570975155,17.89489800096445,13.04875903892535,16.699645151700345,13.324734178798607,1.1952528492641095,7.546142877883042,9,6,4814.25
2025,12,0.049775990317231754,0.05821241051246841,-0.0560868083854064,0.1467016656636139,17.82280198279044,13.433368988363666,18.530036926863183,11.727666937354252,-0.7072349440727442,8.76147506878776,9,7,4660.416666666667
