年份,样本数,top10%_7m%,top10%_年化%,bottom10%_7m%,bottom10%_年化%,市场平均_7m%,市场平均_年化%,市场中位_7m%,市场中位_年化%,top_vs平均_7m%,top_vs平均_年化%,bottom_vs平均_7m%,bottom_vs平均_年化%
2010,12,11.24,20.04,7.08,12.45,9.16,16.22,9.16,16.22,2.08,3.82,-2.08,-3.77
2011,12,-10.64,-17.54,-17.58,-28.22,-14.11,-22.95,-14.11,-22.95,3.47,5.42,-3.47,-5.26
2012,12,7.06,12.41,0.03,0.05,3.55,6.16,3.55,6.16,3.52,6.25,-3.52,-6.1
2013,12,21.28,39.2,10.88,19.37,16.08,29.12,16.08,29.12,5.2,10.08,-5.2,-9.76
2014,12,59.67,123.03,45.97,91.25,52.82,106.89,52.82,106.89,6.85,16.15,-6.85,-15.64
2015,12,21.06,38.78,-11.05,-18.18,5.01,8.74,5.01,8.74,16.06,30.04,-16.06,-26.92
2016,12,11.78,21.04,-3.23,-5.47,4.28,7.45,4.28,7.45,7.51,13.6,-7.51,-12.91
2017,12,-7.23,-12.08,-15.16,-24.56,-11.2,-18.42,-11.2,-18.42,3.96,6.34,-3.96,-6.14
2018,12,1.01,1.74,-7.69,-12.82,-3.34,-5.66,-3.34,-5.66,4.35,7.4,-4.35,-7.17
2019,12,5.55,9.71,4.15,7.22,4.85,8.46,4.85,8.46,0.7,1.25,-0.7,-1.24
2020,12,10.47,18.62,7.67,13.51,9.07,16.05,9.07,16.05,1.4,2.56,-1.4,-2.54
2021,12,13.26,23.8,-0.76,-1.3,6.25,10.95,6.25,10.95,7.01,12.85,-7.01,-12.25
2022,12,8.45,14.92,-0.24,-0.41,4.1,7.14,4.1,7.14,4.34,7.78,-4.34,-7.55
2023,12,-4.94,-8.32,-12.14,-19.89,-8.54,-14.19,-8.54,-14.19,3.6,5.87,-3.6,-5.71
2024,12,17.89,32.61,16.7,30.31,17.3,31.46,17.3,31.46,0.6,1.15,-0.6,-1.15
2025,12,17.82,32.47,18.53,33.83,18.18,33.15,18.18,33.15,-0.35,-0.68,0.35,0.68
